Season	League	Rank	Games	Points	Manager	Top Scorer	Goals
1999-00	Eredivisie	14	34	33	Rob McDonald	Eric Viscaal	10
2000-01	Eredivisie	15	34	31	Jurrie Koolhof	Marino Promes	8
2001-02	Eredivisie	14	34	37	Jurrie Koolhof	Martijn Meerdink	10
2002-03	Eredivisie	18	34	23	Peter Bosz	Hans van de Haar	11
2003-04	Eerste divisie	6	36	64	Frans Adelaar	Jhon van Beukering / Hilmi Mihci	9
2004-05	Eredivisie	17	34	23	Gert Kruys / Andries Ulderink	Jhon van Beukering	9
2005-06	Eerste divisie	5	38	62	Jan de Jonge	Donny de Groot	13
2006-07	Eerste divisie	1	38	83	Jan de Jonge	Berry Powel	29
2007-08	Eredivisie	16	34	30	Jan de Jonge	Donny de Groot	8
2008-09	Eredivisie	17	34	30	Henk van Stee / Darije Kalezić	Jason Oost / Ben Sahar	5
2009-10	Eerste divisie	1	38	81	Darije Kalezić	Hugo Bargas	16
2010-11	Eredivisie	14	34	38	Darije Kalezić	Rydell Poepon	12
