Release	Title	Windows	5th Gen	6th Gen	Handheld	Arcade
January 18	South Park Rally	Yes	PS1 , N64 , PC	DC	N/A	N/A
January 22	Need for Speed: Porsche Unleashed	Yes	PS1	N/A	N/A	N/A
January 24	Mario Party 2	N/A	N64	N/A	N/A	N/A
February 3	Resident Evil Code: Veronica	N/A	N/A	DC ; PS2 (2001); GC (2003)	N/A	N/A
February 4	The Sims	Yes	N/A	N/A	N/A	N/A
February 10	Vagrant Story	N/A	PS1	N/A	N/A	N/A
February 29	Rayman 2: The Great Escape	N/A	N/A	DC	N/A	N/A
February 29	Resident Evil Code: Veronica	N/A	N/A	DC	N/A	N/A
February 29	Pokémon Stadium	N/A	N64	N/A	N/A	N/A
March 4	Kessen	N/A	N/A	PS2	N/A	N/A
March 21	Thief II: The Metal Age	Yes	N/A	N/A	N/A	N/A
March 24	Kirby 64: The Crystal Shards	N/A	N64	N/A	N/A	N/A
March 24	Need for Speed: Porsche Unleashed	Yes	PS1	N/A	GBA (2003)	N/A
March 27	Soldier of Fortune	Yes	N/A	N/A	N/A	N/A
April 27	The Legend of Zelda: Majora's Mask	N/A	N64	N/A	N/A	N/A
May 22	Perfect Dark	N/A	N64	N/A	N/A	N/A
June 1	Ground Control	Yes	PC	N/A	N/A	N/A
June 7	Dracula: Resurrection	Yes	N/A	N/A	N/A	N/A
June 13	Shogun: Total War	Yes	N/A	N/A	N/A	N/A
June 26	Deus Ex	Yes	N/A	N/A	N/A	N/A
June 29	Diablo II	Yes	N/A	N/A	N/A	N/A
June 29	Icewind Dale	Yes	N/A	N/A	N/A	N/A
June 29	Jet Set Radio	N/A	N/A	DC	N/A	N/A
June 29	Marvel vs Capcom 2	N/A	N/A	DC	N/A	N/A
June 30	Homeworld: Cataclysm	Yes	N/A	N/A	N/A	N/A
July 7	Final Fantasy IX	N/A	PS1	N/A	N/A	N/A
July 18	Threads of Fate	N/A	PS1	N/A	N/A	N/A
August 16	Chrono Cross	N/A	PS1	N/A	N/A	N/A
August 24	Age of Empires II: The Conquerors	Yes	N/A	N/A	N/A	N/A
August 26	Dragon Quest VII	N/A	PS1	N/A	N/A	N/A
September 15	Star Trek: Voyager - Elite Force	Yes	N/A	PS2 (2001)	N/A	N/A
September 19	Tony Hawk's Pro Skater 2	N/A	PS1	N/A	N/A	N/A
September 24	Baldur's Gate II: Shadows of Amn	Yes	N/A	N/A	N/A	N/A
October 5	Skies of Arcadia	N/A	N/A	DC	N/A	N/A
October 6	American McGee's Alice	Yes	N/A	N/A	N/A	N/A
October 23	Command & Conquer: Red Alert 2	Yes	N/A	N/A	N/A	N/A
October 24	Mega Man Legends 2	Yes	PS1	N/A	N/A	N/A
October 25	Spyro: Year of the Dragon	N/A	PS1	N/A	N/A	N/A
November 6	Capcom vs. SNK: Millennium Fight 2000	N/A	PS1 (2002)	DC	N/A	N/A
November 6	Crash Bash	N/A	PS1	N/A	N/A	N/A
November 9	The Operative: No One Lives Forever	Yes	N/A	PS2 (2002)	N/A	N/A
November 17	Tomb Raider Chronicles	Yes	PS1	DC	N/A	N/A
November 17	Sacrifice	Yes	N/A	N/A	N/A	N/A
November 19	Hitman: Codename 47	N/A	PC	N/A	N/A	N/A
November 20	Banjo Tooie	N/A	N64	N/A	N/A	N/A
November 23	MechWarrior 4: Vengeance	Yes	N/A	N/A	N/A	Yes
December 6	Grandia II	2002	N/A	DC; PS2 (2002)	N/A	N/A
December 7	Giants: Citizen Kabuto	Yes	N/A	N/A	N/A	N/A
December 7	Mario Party 3	N/A	N64	N/A	N/A	N/A
December 14	Dark Cloud	N/A	N/A	PS2	N/A	N/A
