Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
KJRL	105.7	Herington, Kansas	12,500	C3	FCC
KJLG	91.9	Emporia, Kansas	3,000	A	FCC
KJVL	88.1	Hutchinson, Kansas	570	A	FCC
KJLJ	88.5	Scott City, Kansas	25,000	C3	FCC
K234AG	94.7	Ashland, Kansas	232	D	FCC
K255AZ	98.9	Nickerson, Kansas	200	D	FCC
K228EE	93.5	Elkhart, Kansas	170	D	FCC
K220FA	91.9	Haviland, Kansas	171	D	FCC
K203FB	88.5	Hays, Kansas	250	D	FCC
K265DY	100.9	Ness City, Kansas	170	D	FCC
K237DN	95.3	Pratt, Kansas	170	D	FCC
K214AU	90.9	Sharon Springs, Kansas	92	D	FCC
K222AX	92.3	Junction City, Kansas	170	D	FCC
K239AX	95.7	Larned, Kansas	170	D	FCC
K299AR	107.7	McPherson, Kansas	170	D	FCC
K243BD	96.5	Salina, Kansas	200	D	FCC
K207BP	89.3	Quinter, Kansas	232	D	FCC
K219DC	91.7	St. John, Kansas	225	D	FCC
K204CD	88.7	Tribune, Kansas	204	D	FCC
K231BG	94.1	WaKeeney, Kansas	170	D	FCC
