Title	Producer(s)	Artist(s)	Time	Team(s)
"The Start"	James Earl Jones	XXX	0:45	Minnesota Vikings
"Stay with Me"	James Earl Jones	Richie Rich , Esera Tuaolo	4:05	Minnesota Vikings
"When the Cheering Stops"	The Ummah , Rick St. Hilaire	AZ , Ray Buchanan , Scott Galbraith , & Zhane	3:30	Washington Redskins & Indianapolis Colts
"It's in the Game"	True Master	Method Man , Ricky Watters	4:04	Philadelphia Eagles
"Heads Get Split"	Storm [ disambiguation needed ]	Channel Live, Corey Harris	3:45	Seattle Seahawks
"End Zone"	True Master	Various Artists	1:10	Jacksonville Jaguars
"Fast Life"	Mathematics	Ghostface Killah , Andre Rison	3:52	Jacksonville Jaguars
"The Way You Make Me Feel"	Donell Jones	Donell Jones , Robert Brooks	4:31	Green Bay Packers
"Game Day"	Jay Dee of The Ummah	Phife, Rodney Hampton	4:39	New York Giants
"Bayriders"	Ant Banks	Celly Cel , William Floyd	4:12	San Francisco 49ers
"No Doubt"	Havoc	Havoc , Tyrone Wheatley	3:10	New York Giants
"Gotcha Lookin'"	Romye Robinson	Pharcyde , Raghib Ismail	3:35	Carolina Panthers
"Celebration"	Micheal Barber	Flip , Lamont Warren	3:29	Indianapolis Colts
"The Score"	True Master	Various Artists	3:57	Indianapolis Colts
