Player	Position	Tries	Goals	Points
Robbie Paul	Fullback	15	1	62
Tevita Vaikona	Wing	19	0	76
Leon Pryce	Centre	9	0	36
Nathan McAvoy	Centre	14	0	56
Lesley Vainikolo	Wing	11	0	44
Michael Withers	Fullback	20	8	97
Paul Deacon	Scrum Half	6	155	336
Joe Vagana	Prop	1	0	4
James Lowes	Hooker	9	0	36
Paul Anderson	Prop	3	0	12
Daniel Gartner	Second Row	9	0	36
Jamie Peacock	Second Row	2	0	8
Mike Forshaw	Loose Forward	5	0	20
Lee Gilmour	Centre	9	0	36
Brandon Costin	Stand Off	8	0	32
Alex Wilkinson	Wing	0	0	0
Lee Radford	Second Row	2	0	8
Jamie Langley	Loose Forward	0	0	0
Scott Naylor	Centre	13	0	52
Brian McDermott	Prop	4	0	16
Paul Sykes	Centre	0	3	6
Rob Parker	Prop	0	0	0
Stuart Fielden	Prop	7	0	28
Richard Moore	Prop	0	0	0
