Draw	Language	Artist	Song	English translation	Place	Points
01	German	Margot Eskens	" Die Zeiger der Uhr "	The hands of the clock	10	7
02	Danish	Ulla Pia	" Stop - mens legen er go' "	Stop while the going's good	14	4
03	French	Tonia	" Un peu de poivre, un peu de sel "	A bit of pepper, a bit of salt	4	14
04	French	Michèle Torr	" Ce soir je t'attendais "	Tonight, I waited for you	10	7
05	Slovene	Berta Ambrož	" Brez besed "	Without words	7	9
06	Norwegian	Åse Kleveland	" Intet er nytt under solen "	Nothing is new under the sun	3	15
07	Finnish	Ann Christine	" Playboy "	—	10	7
08	Portuguese	Madalena Iglésias	" Ele e ela "	He and she	13	6
09	German	Udo Jürgens	" Merci, Chérie "	Thank you, darling	1	31
10	Swedish	Lill Lindfors & Svante Thuresson	" Nygammal vals "	New, yet familiar, waltz	2	16
11	Spanish	Raphael	" Yo soy aquél "	I'm that one	7	9
12	French	Madeleine Pascal	" Ne vois-tu pas? "	Don't you see?	6	12
13	French	Tereza Kesovija	" Bien plus fort "	Altogether Stronger	17	0
14	Italian	Domenico Modugno	" Dio, come ti amo "	God, how I love you	17	0
15	French	Dominique Walter	" Chez nous "	Our place	16	1
16	Dutch	Milly Scott	" Fernando en Filippo "	Fernando and Filippo	15	2
17	English	Dickie Rock	" Come Back to Stay "	—	4	14
18	English	Kenneth McKellar	" A Man Without Love "	—	9	8
