Round	Pick #	Overall	Name	Position	College
1	5	5	Curtis Dickey	Running Back	Texas A&M
1	24	24	Derrick Hatchett	Cornerback	Texas
2	4	32	Ray Donaldson	Center	Georgia
2	23	51	Tim Foley	Offensive Tackle	Notre Dame
4	5	88	Ray Butler	Wide Receiver	USC
6	6	144	Chris Foote	Center	USC
7	5	170	Wes Roberts	Defensive End	TCU
8	2	195	Ken Walter	Offensive Tackle	Texas Tech
9	6	227	Mark Bright	Running Back	Temple
10	5	254	Larry Stewart	Offensive Tackle	Maryland
11	3	280	Ed Whitley	Tight End	Kansas State
12	6	311	Randy Bielski	Placekicker	Towson
12	19	324	Marvin Sims	Fullback	Clemson
