Driver	Constructor	Laps	Time/Retired	Grid
Fernando Alonso	McLaren - Mercedes	60	2:06:26.358	2
Felipe Massa	Ferrari	60	+8.155	3
Mark Webber	Red Bull - Renault	60	+1:05.674	6
Alexander Wurz	Williams - Toyota	60	+1:05.937	12
David Coulthard	Red Bull - Renault	60	+1:13.656	20
Nick Heidfeld	BMW Sauber	60	+1:20.298	4
Robert Kubica	BMW Sauber	60	+1:22.415	5
Heikki Kovalainen	Renault	59	+1 lap	7
Lewis Hamilton	McLaren - Mercedes	59	+1 lap	10
Giancarlo Fisichella	Renault	59	+1 lap	13
Rubens Barrichello	Honda	59	+1 lap	14
Anthony Davidson	Super Aguri - Honda	59	+1 lap	15
Jarno Trulli	Toyota	59	+1 lap	8
Kimi Räikkönen	Ferrari	34	Hydraulics	1
Takuma Sato	Super Aguri - Honda	19	Hydraulics	16
Ralf Schumacher	Toyota	18	Collision	9
Markus Winkelhock	Spyker - Ferrari	13	Hydraulics	22
Jenson Button	Honda	2	Spun off	17
Adrian Sutil	Spyker - Ferrari	2	Spun off	21
Nico Rosberg	Williams - Toyota	2	Spun off	11
Scott Speed	Toro Rosso - Ferrari	2	Spun off	18
Vitantonio Liuzzi	Toro Rosso - Ferrari	2	Spun off	19
