Date	Venue	Score	Result	Competition
17 December 2002	Al Kuwait SC Stadium , Kuwait City	1–0	4–0	2002 Arab Nations Cup
21 December 2002	Al Kuwait SC Stadium, Kuwait City	2–0	4–1	2002 Arab Nations Cup
21 December 2002	Al Kuwait SC Stadium, Kuwait City	3–0	4–1	2002 Arab Nations Cup
21 December 2002	Al Kuwait SC Stadium, Kuwait City	4–1	4–1	2002 Arab Nations Cup
14 November 2003	Sharjah Stadium , Sharjah	1–0	1–3	2004 AFC Asian Cup qualifier
23 March 2004	Jounieh Municipal Stadium, Jounieh	1–0	1–0	Friendly
19 April 2004	Khartoum	1–0	2–1	Friendly
1 June 2004	Kuwait City	1-0	1-0	Friendly
3 June 2004	Kuwait City	1–0	2–1	Friendly
10 June 2004	Khaled Ibn Al Walid Stadium , Homs	2–1	2–1	2006 FIFA World Cup qualification
19 June 2004	Azadi Stadium , Tehran	3–0	3–1	2004 WAFF Championship
23 June 2004	Azadi Stadium, Tehran	1–1	1–1	2004 WAFF Championship
25 June 2004	Azadi Stadium, Tehran	1–0	1–4	2004 WAFF Championship
8 September 2004	Central Stadium, Dushanbe	1–0	1–0	2006 FIFA World Cup qualifier
6 October 2004	Riyadh	1–0	2–2	Friendly
26 January 2005	Al-Sadaqua Walsalam Stadium , Kuwait City	2–2	2–3	Friendly
9 November 2007	Gelora Bung Karno Stadium , Jakarta	4–1	4–1	2010 FIFA World Cup qualifier
18 November 2007	Abbasiyyin Stadium , Damascus	3–0	7–0	2010 FIFA World Cup qualifier
18 November 2007	Abbasiyyin Stadium, Damascus	4–0	7–0	2010 FIFA World Cup qualifier
18 November 2007	Abbasiyyin Stadium, Damascus	7–0	7–0	2010 FIFA World Cup qualifier
17 May 2008	Abbasiyyin Stadium, Damascus	2–0	2–1	Friendly
27 December 2008	Prince Mohamed bin Fahd Stadium , Dammam	1–1	1–1	Friendly
18 January 2009	Al-Sadaqua Walsalam Stadium , Kuwait City	2–1	5–1	Friendly
23 January 2009	Al-Sadaqua Walsalam Stadium, Kuwait City	1–1	3–2	Friendly
8 November 2009	SCG Stadium , Nonthaburi	1–0	1–1	Friendly
14 November 2009	My Dinh National Stadium , Hanoi	1–0	1–0	2011 AFC Asian Cup qualifier
23 January 2010	Abbasiyyin Stadium, Damascus	1–0	1–1	Friendly
15 October 2013	Jalan Besar Stadium , Singapore	1–2	1–2	2015 AFC Asian Cup qualifier
