Week	Date	Opponent	Result	Attendance
1	September 4, 1988	at Los Angeles Raiders	L 24–13	39,029
2	September 11, 1988	at Denver Broncos	L 34–3	75,359
3	September 18, 1988	Seattle Seahawks	W 17–6	44,449
4	September 25, 1988	at Kansas City Chiefs	W 24–23	45,498
5	October 2, 1988	Denver Broncos	L 12–0	55,763
6	October 9, 1988	New Orleans Saints	L 23–17	42,693
7	October 16, 1988	at Miami Dolphins	L 31–28	58,972
8	October 23, 1988	Indianapolis Colts	L 16–0	37,722
9	October 30, 1988	at Seattle Seahawks	L 17–14	59,641
10	November 6, 1988	Los Angeles Raiders	L 13–3	55,134
11	November 13, 1988	at Atlanta Falcons	W 10–7	26,329
12	November 20, 1988	at Los Angeles Rams	W 38–24	45,462
13	November 27, 1988	San Francisco 49ers	L 48–10	51,484
14	December 4, 1988	at Cincinnati Bengals	L 27–10	56,866
15	December 11, 1988	Pittsburgh Steelers	W 20–14	33,816
16	December 18, 1988	Kansas City Chiefs	W 24–13	26,339
