Letters	Organization	Nickname	Founding Date	Founding University	Type
ΑΙΟ	Alpha Iota Omicron	"AIO"	1998-10-16	University of Michigan	Fraternity
ΒΧΘ	Beta Chi Theta 2	"Beta Chi/BCT"	1999-06-02	University of California, Los Angeles	Fraternity
ΒΚΓ	Beta Kappa Gamma	"BKG"	1999-05-06	University of Texas at Austin	Fraternity
ΔΣΙ	Delta Sigma Iota	"DSI"	2000-08-15	Pennsylvania State University	Fraternity
ΔΕΨ	Delta Epsilon Psi	"DEPsi/D.E.Psi"	1998-10-01	University of Texas at Austin	Fraternity
ΔΘΨ	Delta Theta Psi	"DTPsi"	2002-01-14	University of Michigan	Sorority
ΔΚΔ	Delta Kappa Delta 1	"DKD"	2000-08-15	Texas A&M University	Sorority
ΔEΣΙ	Delta Epsilon Sigma Iota	"Desi"	1997-12-12	University at Buffalo, SUNY	Fraternity
ΔΦΩ	Delta Phi Omega	"DPO"	1998-12-06	University of Houston	Sorority
ΙΝΔ	Iota Nu Delta	"IND"	1994-02-07	Binghamton University	Fraternity
ΚΦΓ	Kappa Phi Gamma	"KPhiG"	1998-11-08	University of Texas at Austin	Sorority
