Opposing Team	Against	Date	Venue	Status
Devon & Cornwall	6	14 September 1935	Rectory Ground, Devonport	Tour match
Midland Counties	3	19 September 1935	Highfield Road , Coventry	Tour match
Yorkshire & Cumberland	3	21 September 1935	Lidget Green, Bradford	Tour match
Abertillery & Cross Keys	6	25 September 1935	Abertillery Park, Abertillery	Tour match
Swansea	11	28 September 1935	St. Helen's , Swansea	Tour match
Gloucestershire & Somerset	3	3 October 1935	Memorial Stadium , Bristol	Tour match
Lancashire & Cheshire	8	5 October 1935	Birkenhead	Tour match
Northumberland & Durham	6	9 October 1935	Gosforth	Tour match
South of Scotland	8	12 October 1935	Mansfield Park , Hawick	Tour match
Glasgow & Edinburgh	8	16 October 1935	Old Anniesland , Glasgow	Tour match
Combined Services	5	19 October 1935	Aldershot	Tour match
Llanelli RFC	8	22 October 1935	Stradey Park , Llanelli	Tour match
Cardiff	5	26 October 1935	Arms Park , Cardiff	Tour match
Newport	5	31 October 1935	Rodney Parade , Newport	Tour match
London Counties	0	2 November 1935	Twickenham , London	Tour match
Oxford University	9	7 November 1935	Iffley Road, Oxford	Tour match
Hampshire & Sussex	8	9 November 1935	Dean Court , Bournemouth	Tour match
Cambridge University	5	14 November 1935	Grange Road, Cambridge	Tour match
Leicestershire & East Midlands	3	16 November 1935	Welford Road , Leicester	Tour match
Scotland	8	23 November 1935	Murrayfield , Edinburgh	Test Match
North of Scotland	6	27 November 1935	Linksfield Stadium, Aberdeen	Tour match
Ulster	3	30 November 1935	Ravenhill , Belfast	Tour match
Ireland	9	7 December 1935	Lansdowne Road , Dublin	Test Match
Mid-Districts	10	12 December 1935	Aberdare	Tour match
Neath & Abevaron	3	14 December 1935	Aberavon	Tour match
Wales	13	21 December 1935	Arms Park , Cardiff	Test Match
London Counties	5	26 December 1935	Twickenham , London	Tour match
England	13	4 January 1936	Twickenham , London	Test Match
Vancouver	0	25 January 1936	Brocton Point, Vancouver	Tour match
Victoria (B.C.)	3	29 January 1936	MacDonald Park, Victoria	Tour match
