Position	Jersey #	Name	Birthdate	Birthplace	Club/Team
G	2	Jack McCartan	5 August 1935	St. Paul, Minnesota	University of Minnesota
G	1	Larry Palmer	7 January 1938	Malden, Massachusetts	West Point
D	3	Jack Kirrane, Jr.	20 August 1928	Brookline, Massachusetts	None
D	4	John Mayasich	22 May 1933	Eveleth, Minnesota	University of Minnesota
D	5	Bob Owen	8 June 1936	St. Louis Park, Minnesota	Harvard University
D	9	Rod Paavola	21 August 1939	Hancock, Michigan	None
C	15	Paul Johnson	18 May 1936	West St. Paul, Minnesota	Rochester Mustangs ( USHL )
C	8	Bob McVey	14 March 1936	Hartford, Connecticut	Harvard University
C	12	Tom Williams	17 April 1940	Duluth, Minnesota	Duluth Swans
W	6	Bill Christian	29 January 1938	Warroad, Minnesota	Warroad Lakers
W	10	Roger Christian	1 December 1935	Warroad, Minnesota	Warroad Lakers
W	7	Bill Cleary, Jr.	19 August 1934	Cambridge, Massachusetts	Harvard University
W	14	Bob Cleary	21 April 1936	Cambridge, Massachusetts	Harvard University
W	11	Gene Grazia	29 July 1934	West Springfield, Massachusetts	Michigan State University
W	18	Dick Meredith	22 December 1932	South Bend, Indiana	University of Minnesota
W	16	Weldy Olson	12 November 1932	Marquette, Michigan	Michigan State University
W	17	Dick Rodenheiser	17 October 1932	Malden, Massachusetts	Boston College
