Shooter	Event	Rank points	Score points	Total
Erdzhanik Avetisyan ( RUS )	WCF 2007	Defending champion	Defending champion	Defending champion
Chiara Cainero ( ITA )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Kim Rhode ( USA )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Christine Brinker ( GER )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Haley Dunn ( USA )	WC Kerrville	15	14	29
Andri Eleftheriou ( CYP )	WC Belgrade	15	14	29
Wei Ning ( CHN )	WC Beijing	15	13	28
Diana Bacosi ( ITA )	WC Suhl	15	13	28
Danka Barteková ( SVK )	WC Suhl	10	13	23
Connie Smotek ( USA )	WC Kerrville	8	10	18
Zhang Shan ( CHN )	WC Beijing	4	12	16
Nathalie Larsson ( SWE )	WC Beijing	5	11	16
