Sport	Gold	Silver	Bronze	Total
Aquatics, Diving	0	1	3	4
Aquatics, Water polo	1	0	0	1
Athletics	9	13	10	32
Basketball	0	0	3	3
Board games, Chess	0	0	1	1
Boxing	5	9	25	39
Canoeing, Sprint	1	2	1	4
Cycling, Road	3	4	5	12
Cycling, Track	1	5	8	14
Equestrian	0	0	1	1
Fencing	3	4	6	13
Football	4	2	1	7
Handball	0	1	1	2
Judo	1	7	10	18
Kabaddi	0	1	1	2
Karate	9	8	5	22
Rowing	1	0	1	2
Shooting	0	2	2	4
Table tennis	0	0	2	2
Taekwondo	8	9	15	32
Tennis	0	2	2	4
Volleyball, Indoor	0	3	2	5
Weightlifting	30	28	19	77
Wrestling	58	39	28	125
Wushu	4	3	5	12
Total	138	143	157	438
