Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Celta de Vigo	38	53+15	22	9	7	61	26	+35
2	Rayo Vallecano	38	48+10	20	8	10	52	27	+25
3	UE Figueres	38	47+9	16	15	7	43	27	+16
4	Real Betis	38	46+8	18	10	10	54	43	+11
5	UE Lleida	38	43+5	17	9	12	52	36	+16
6	Barcelona B	38	41+3	17	7	14	59	53	+6
7	CP Mérida	38	41+3	16	9	13	58	48	+10
8	SD Compostela	38	41+3	15	11	12	36	32	+4
9	CE Sabadell FC	38	38	16	6	16	34	35	-1
10	Racing de Santander	38	37-1	15	7	16	39	44	-5
11	Real Murcia 1	38	36-2	11	14	13	32	36	-4
12	SD Eibar	38	36-2	11	14	13	19	22	-3
13	Bilbao Athletic	38	35-3	12	11	15	36	40	-4
14	Palamós CF	38	35-3	13	9	16	39	46	-7
15	CD Castellón	38	35-3	13	9	16	42	48	-6
16	Real Madrid B	38	34-4	11	12	15	44	55	-11
17	Sestao 1	38	32-6	11	10	17	26	44	-18
18	CD Málaga 2	38	30-8	10	10	18	25	45	-20
19	Real Avilés	38	27-11	9	9	20	31	56	-25
20	UD Las Palmas	38	25-13	8	9	21	39	58	-19
