№	#	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
57	1	" The Freshman "	Joss Whedon	Joss Whedon	October5,1999	4ABB01	5.8
58	2	" Living Conditions "	David Grossman	Marti Noxon	October12,1999	4ABB02	6.4
59	3	" The Harsh Light of Day "	James A. Contner	Jane Espenson	October19,1999	4ABB03	5.9
60	4	" Fear, Itself "	Tucker Gates	David Fury	October26,1999	4ABB04	5.8
61	5	" Beer Bad "	David Solomon	Tracey Forbes	November2,1999	4ABB05	N/A
62	6	" Wild at Heart "	David Grossman	Marti Noxon	November9,1999	4ABB06	5.8
63	7	" The Initiative "	James A. Contner	Douglas Petrie	November16,1999	4ABB07	N/A
64	8	" Pangs "	Michael Lange	Jane Espenson	November23,1999	4ABB08	N/A
65	9	" Something Blue "	Nick Marck	Tracey Forbes	November30,1999	4ABB09	N/A
66	10	" Hush "	Joss Whedon	Joss Whedon	December14,1999	4ABB10	5.9
67	11	" Doomed "	James A. Contner	Marti Noxon & David Fury & Jane Espenson	January18,2000	4ABB11	N/A
68	12	" A New Man "	Michael Gershman	Jane Espenson	January25,2000	4ABB12	N/A
69	13	" The I in Team "	James A. Contner	David Fury	February8,2000	4ABB13	N/A
70	14	" Goodbye Iowa "	David Solomon	Marti Noxon	February15,2000	4ABB14	N/A
71	15	" This Year's Girl " (Part 1)	Michael Gershman	Douglas Petrie	February22,2000	4ABB15	N/A
72	16	" Who Are You " (Part 2)	Joss Whedon	Joss Whedon	February29,2000	4ABB16	5.5
73	17	" Superstar "	David Grossman	Jane Espenson	April4,2000	4ABB17	N/A
74	18	" Where the Wild Things Are "	David Solomon	Tracey Forbes	April25,2000	4ABB18	N/A
75	19	" New Moon Rising "	James A. Contner	Marti Noxon	May2,2000	4ABB19	4.6
76	20	" The Yoko Factor " (Part 1)	David Grossman	Douglas Petrie	May9,2000	4ABB20	4.9
77	21	" Primeval " (Part 2)	James A. Contner	David Fury	May16,2000	4ABB21	5.2
