Title	Series	Director	Production Number	Release date	reissue?
Gorilla My Dreams	LT	Robert McKimson	1036	1948-01-03	No
Two Gophers from Texas	MM	Arthur Davis	1066, BR 1403	1948-01-17	Yes
Feather in His Hare, A	LT	Chuck Jones	1023	1948-02-07	No
What Makes Daffy Duck?	LT	Arthur Davis	1069	1948-02-14	No
What's Brewin', Bruin?	LT	Chuck Jones	1035, BR 1372	1948-02-26	Yes
Daffy Duck Slept Here	MM	Robert McKimson	1039	1948-03-06	No
A Hick, a Slick, and a Chick	MM	Arthur Davis	1073	1948-03-13	No
Back Alley Oproar	MM	Friz Freleng	1037, BR 1377	1948-03-27	Yes
I Taw a Putty Tat	MM	Friz Freleng	1072, BR 1407	1948-04-02	Yes
Rabbit Punch	MM	Chuck Jones	1043	1948-04-10	No
Hop, Look and Listen	LT	Robert McKimson	1042, BR 1373	1948-04-17	Yes
Nothing but the Tooth	MM	Arthur Davis	1041	1948-05-01	No
Buccaneer Bunny	LT	Friz Freleng	1047	1948-05-08	No
Bone Sweet Bone	MM	Arthur Davis	1082, BR 1404	1948-05-22	Yes
Bugs Bunny Rides Again	MM	Friz Freleng	1050	1948-06-12	No
Rattled Rooster, The	LT	Arthur Davis	1084, BR 1402	1948-06-26	Yes
The Up-Standing Sitter	LT	Robert McKimson	1087	1948-07-03	No
The Shell Shocked Egg	MM	Robert McKimson	1045, BR 1368	1948-07-10	Yes
Haredevil Hare	LT	Chuck Jones	1052	1948-07-24	No
You Were Never Duckier	MM	Charles M. Jones	1046, BR 1369	1948-08-07	Yes
Dough Ray Me-ow	MM	Arthur Davis	1088	1948-08-14	No
Hot Cross Bunny	MM	Robert McKimson	1053	1948-08-21	Yes
The Pest That Came To Dinner	LT	Arthur Davis	1051, BR 1506	1948-09-11	Yes
Hare Splitter	MM	I. Freleng	1059, BR 1501	1948-09-25	Yes
Odor of the Day	LT	Arthur Davis	1093	1948-10-02	No
The Foghorn Leghorn	MM	Robert McKimson	1057, BR 1405	1948-10-09	Yes
A-Lad-In His Lamp	LT	Robert McKimson	1065	1948-10-23	No
Daffy Dilly	MM	Charles M. Jones	1064, BR 1413	1948-10-30	Yes
Kit for Cat	LT	I. Freleng	1055, BR 1407	1948-11-06	Yes
The Stupor Salesman	LT	Arthur Davis	1058	1948-11-20	No
Riff Raffy Daffy	LT	Arthur Davis	1079	1948-11-27	No
My Bunny Lies over the Sea	MM	Charles M. Jones	1062	1948-12-04	Yes
Scaredy Cat	MM	Charles M. Jones	1056, BR 1412	1948-12-18	Yes
