Week	Date	Opponent	Result	TV Time	Attendance
1	September 9, 2001	St. Louis Rams	L 20–17	FOX 4:15pm	66,243
2	September 23, 2001	at Seattle Seahawks	W 27–3	FOX 4:15pm	62,826
3	September 30, 2001	Dallas Cowboys	W 40–18	ESPN 8:30pm	66,621
4	October 7, 2001	Arizona Cardinals	L 21–20	FOX 1:00pm	66,360
5	Bye	Bye	Bye	Bye	Bye
6	October 22, 2001	at New York Giants	W 10–9	ABC 9:00pm	78,821
7	October 28, 2001	Oakland Raiders	L 20–10	CBS 4:15pm	65,342
8	November 4, 2001	at Arizona Cardinals	W 21–7	FOX 4:05pm	33,430
9	November 11, 2001	Minnesota Vikings	W 48–17	FOX 4:15pm	65,638
10	November 18, 2001	at Dallas Cowboys	W 36–3	FOX 1:00pm	63,204
11	November 25, 2001	Washington Redskins	L 13–3	FOX 1:00pm	65,666
12	November 29, 2001	at Kansas City Chiefs	W 23–10	ESPN 8:30pm	77,087
13	December 9, 2001	San Diego Chargers	W 24–14	CBS 1:00pm	65,438
14	December 16, 2001	at Washington Redskins	W 20–6	FOX 4:15pm	84,036
15	December 23, 2001	at San Francisco 49ers	L 13–3	FOX 4:15pm	68,124
16	December 30, 2001	New York Giants	W 24–21	FOX 4:15pm	65,885
17	January 6, 2002	at Tampa Bay Buccaneers	W 17–13	ESPN 8:30pm	65,541
