Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1985	1	1	1	1	0	14.0	1.0	$32,400	101st	Darrell Waltrip Motorsports
1986	2	0	1	1	1	20.0	21.5	$6,600	66th	Labonte Motorsports
1991	5	1	1	2	1	19.2	18.4	$27,380	48th	Labonte Motorsports
1992	5	0	3	3	0	18.6	12.0	$32,760	46th	Labonte Motorsports
1993	20	0	7	10	1	15.6	15.7	$117,371	20th	Labonte Motorsports
1994	20	4	9	14	0	16.6	11.5	$215,438	18th	Labonte Motorsports
1995	19	1	9	11	1	17.6	12.5	$182,111	17th	Labonte Motorsports
1996	18	3	11	16	0	16.6	7.2	$216,268	13th	Labonte Motorsports
1997	14	0	1	4	0	18.4	20.0	$110,765	33rd	Labonte Motorsports
1999	16	1	3	4	0	16.7	18.5	$236,190	30th	Labonte Motorsports
