Week	Date	Opponent	Game Site	Final Score	Record	TV Time	Attendance
1	September 1, 1991	Miami Dolphins	Rich Stadium	W 35–31	1–0	NBC 4:15pm	80,252
2	September 8, 1991	Pittsburgh Steelers	Rich Stadium	W 52–34	2–0	NBC 1:00pm	79,545
3	September 15, 1991	at New York Jets	The Meadowlands	W 23–20	3–0	NBC 4:15pm	65,309
4	September 22, 1991	at Tampa Bay Buccaneers	Tampa Stadium	W 17–10	4–0	NBC 4:15pm	57,323
5	September 29, 1991	Chicago Bears	Rich Stadium	W 35–20	5–0	CBS 1:00pm	80,366
6	October 7, 1991	at Kansas City Chiefs	Arrowhead Stadium	L 6–33	5–1	ABC 9:00pm	76,120
7	October 13, 1991	Indianapolis Colts	Rich Stadium	W 42–6	6–1	NBC 1:00pm	79,015
8	October 21, 1991	Cincinnati Bengals	Rich Stadium	W 35–16	7–1	ABC 9:00pm	80,131
9	Bye	Bye	Bye	Bye	Bye	Bye	Bye
10	November 3, 1991	New England Patriots	Rich Stadium	W 22–17	8–1	NBC 1:00pm	78,278
11	November 10, 1991	at Green Bay Packers	Milwaukee County Stadium	W 34–24	9–1	NBC 1:00pm	52,175
12	November 18, 1991	at Miami Dolphins	Joe Robbie Stadium	W 41–27	10–1	ABC 9:00pm	71,062
13	November 24, 1991	at New England Patriots	Foxboro Stadium	L 13–16	10–2	NBC 1:00pm	47,053
14	December 1, 1991	New York Jets	Rich Stadium	W 24–13	11–2	NBC 1:00pm	80,243
15	December 8, 1991	at Los Angeles Raiders	Los Angeles Memorial Coliseum	W 30–27	12–2	NBC 4:15pm	85,081
16	December 15, 1991	at Indianapolis Colts	Hoosier Dome	W 35–7	13–2	ESPN 8:15pm	48,286
17	December 22, 1991	Detroit Lions	Rich Stadium	L 14–17	13–3	CBS 1:00pm	78,059
