Competition	Round	Opponent	Result	Score	Home/Away	Venue	Attendance	Date
Super League XIV	1	Crusaders	Win	28-16	Home	The Willows	4,026	14/02/2009
Super League XIV	2	Wakefield Trinity Wildcats	Loss	29-10	Away	Belle Vue	6,578	22/02/2009
Super League XIV	3	Castleford Tigers	Loss	52-16	Away	The Jungle	7,052	28/02/2009
Super League XIV	4	Harlequins RL	Loss	18-48	Home	The Willows	3,367	06/03/2009
Super League XIV	5	St Helens RLFC	Loss	38-12	Away	GPW Recruitment Stadium	9,723	13/03/2009
Super League XIV	6	Wigan Warriors	Loss	12-38	Home	The Willows	7,016	20/03/2009
Super League XIV	7	Hull Kingston Rovers	Loss	48-12	Away	New Craven Park	8,104	29/03/2009
Challenge Cup 2009	4	Hull	Win	18-22	Away	KC Stadium	8,945	05/04/2009
Super League XIV	8	Warrington Wolves	Win	18-16	Home	The Willows	6,150	10/04/2009
Super League XIV	9	Leeds Rhinos	Win	20-30	Away	Headingley Stadium	14,381	13/04/2009
Super League XIV	10	Catalans Dragons	Loss	38-6	Away	Stade Gilbert Brutus	8,327	18/04/2009
Super League XIV	11	Hull FC	Loss	14-18	Home	The Willows	4,165	25/04/2009
Super League XIV	12	Harlequins RL	Loss	16-24	Neutral	Murrayfield Stadium	29,627	02/05/2009
Challenge Cup 2009	5	Batley Bulldogs	Win	4-66	Away	Mount Pleasant	1,298	10/05/2009
Super League XIV	13	Huddersfield Giants	Win	4-24	Away	Galpharm Stadium	6,903	17/05/2009
Super League XIV	14	Bradford Bulls	Win	18-10	Home	The Willows	4,383	23/05/2009
Challenge Cup 2009	QF	Wigan Warriors	Loss	28-6	Away	JJB Stadium	9,466	29/05/2009
Super League XIV	15	Wigan Warriors	Loss	34-18	Away	JJB Stadium	11,550	05/06/2009
Super League XIV	16	Catalans Dragons	N/A	P-P [A ]	Home	The Willows	N/A	12/06/2009
Super League XIV	17	Hull FC	Loss	14-12	Away	KC Stadium	11,218	19/06/2009
Super League XIV	18	Huddersfield Giants	Loss	10-34	Home	The Willows	3,721	26/06/2009
Super League XIV	19	St Helens RLFC	Win	20-10	Home	The Willows	4,808	03/07/2009
Super League XIV	20	Celtic Crusaders	Loss	25-12	Away	Brewery Field	3,009	11/07/2009
Super League XIV	21	Castleford Tigers	Loss	12-18	Home	The Willows	3,487	17/07/2009
Super League XIV	22	Warrington Wolves	Loss	62-20	Away	Halliwell Jones Stadium	8,906	26/07/2009
Super League XIV	23	Wakefield Trinity Wildcats	Loss	24-30	Home	The Willows	3,151	31/07/2009
Super League XIV	16	Catalans Dragons	Loss	16-18	Home	The Willows	3,475	07/08/2009
Super League XIV	24	Harlequins RL	Win	22-26	Away	The Twickenham Stoop	2,612	15/08/2009
Super League XIV	25	Hull Kingston Rovers	Loss	10-14	Home	The Willows	4,224	21/08/2009
Super League XIV	26	Bradford Bulls	Loss	44-18	Away	Grattan Stadium	8,167	06/09/2009
