Rank	County	% (1960)	% (2000)	% (2040)
1	Oslo	13.2	11.3	12.8
2	Akershus	6.3	10.4	11.9
3	Hordaland	9.4	9.7	10.2
4	Rogaland	6.6	8.3	9.9
5	Sør-Trøndelag	5.8	5.8	6.0
6	Østfold	5.6	5.5	5.5
7	Buskerud	4.6	5.2	5.4
8	Møre og Romsdal	5.9	5.4	4.8
9	Nordland	6.6	5.3	3.9
10	Vestfold	4.8	4.7	4.7
11	Hedmark	4.9	4.1	3.4
12	Oppland	4.6	4.0	3.3
13	Vest-Agder	3.0	3.4	3.6
14	Telemark	4.1	3.6	3.0
15	Troms	3.5	3.3	2.7
16	Nord-Trøndelag	3.2	2.8	2.4
17	Aust-Agder	2.1	2.2	2.3
18	Sogn og Fjordane	2.8	2.4	1.8
19	Finnmark	2.0	1.6	1.2
Sum	Norway	100.0	100.0	100.0
