Player	Games Played	Rebounds	Assists	Steals	Blocks	Points
Mwadi Mabika	32	141	82	30	18	441
Lisa Leslie	23	231	46	31	63	424
DeLisha Milton-Jones	31	220	64	49	41	416
Tamecka Dixon	30	126	89	35	10	412
Nikki Teasley	34	175	214	39	15	392
Jennifer Gillom	33	55	21	16	3	103
Nicky McCrimmon	33	29	32	19	1	68
Rhonda Mapp	24	68	6	7	6	62
Sophia Witherspoon	23	19	4	7	0	56
Shaquala Williams	25	32	19	6	0	49
Vanessa Nygaard	11	19	5	3	0	41
Latasha Byears	5	21	2	0	2	28
Chandra Johnson	8	6	3	0	1	6
Lynn Pride	4	6	0	0	0	1
