Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Jun 29, 1969	U.S. Women's Open	+2 (74-75-76-69=294)	1 stroke	Peggy Wilson
Sep 21, 1969	Lincoln-Mercury Open	–2 (74-68-72=214)	Playoff	Kathy Whitworth
May 24, 1970	Bluegrass Invitational	–2 (72-70-72=214)	1 stroke	Mary Mills
Jul 5, 1970	U.S. Women's Open	+3 (69-70-71-77=287)	1 stroke	Sandra Haynie , Sandra Spuzich
May 20, 1973	Bluegrass Invitational	–3 (72-72-72=216)	2 strokes	Sandra Spuzich
Feb 2, 1975	Burdine's Invitational	–8 (70-71-67=208)	3 strokes	Kathy Cornelius
May 11, 1975	Lady Tara Classic	–5 (72-70-72=214)	1 stroke	Gloria Ehret , Sandra Post
Jun 13, 1976	Peter Jackson Classic	–4 (72-73-67=212)	Playoff	Judy Rankin
Sep 19, 1976	Portland Classic	–2 (72-71-74=217)	Playoff	Clifford Ann Creed
Sep 26, 1976	The Carlton	–6 (69-69-72-72=282)	5 strokes	Jane Blalock , Judy Rankin
Nov 3, 1976	LPGA/Japan Mizuno Classic	–5 (74-71-72=217)	4 strokes	Chako Higuchi
Sep 17, 1978	The Sarah Coventry	–10 (72-71-68-71=282)	5 strokes	Jane Blalock
Oct 22, 1978	Houston Exchange Clubs Classic	–9 (70-68-69=207)	3 strokes	Alexandra Reinhardt
Jun 10, 1979	LPGA Championship	–9 (69-70-70-70=279)	3 strokes	Jerilyn Britz
Mar 23, 1980	LPGA National Pro-Am	–2 (71-74-71-70=286)	1 stroke	Nancy Lopez
Apr 6, 1980	Colgate-Dinah Shore Winner's Circle	–13 (71-67-66-71=275)	2 storkes	Amy Alcott
May 25, 1980	Corning Classic	–7 (66-72-69-74=281)	2 strokes	Myra Blackwelder
Sep 14, 1980	United Virginia Bank Classic	–11 (70-67-66-74=277)	4 strokes	Nancy Lopez
Sep 21, 1980	ERA Real Estate Classic	–9 (75-68-71-69=283)	5 strokes	Shelley Hamlin
Mar 22, 1981	LPGA Desert Inn Pro-Am	–3 (74-75-69-68=286)	3 strokes	Pat Bradley
Apr 12, 1981	American Defender/WRAL Golf Classic	–8 (71-65-72=208)	1 stroke	Cathy Sherk
Jun 14, 1981	LPGA Championship	–8 (69-68-70-73=280)	1 stroke	Jerilyn Britz, Pat Meyers
Jul 19, 1981	WUI Classic	–6 (71-69-69-73=282)	2 strokes	Julie Pyne
Aug 2, 1981	Boston Five Classic	–12 (69-68-68-71=276)	6 strokes	Jan Stephenson
