Week	Date	Opponent	Result	Attendance
1	September 9, 1990	Tampa Bay Buccaneers	L 38-21	56,692
2	September 16, 1990	Atlanta Falcons	W 21-14	48,961
3	September 23, 1990	at Tampa Bay Buccaneers	L 23-20	55,075
4	September 30, 1990	Green Bay Packers	L 24-21	64,509
5	October 7, 1990	at Minnesota Vikings	W 34-27	57,586
6	October 14, 1990	at Kansas City Chiefs	L 43-24	74,312
7	Bye	Bye	Bye	Bye
8	October 28, 1990	at New Orleans Saints	W 27-10	64,368
9	November 4, 1990	Washington Redskins	L 41-38 OT	69,326
10	November 11, 1990	Minnesota Vikings	L 17-7	68,264
11	November 18, 1990	at New York Giants	L 20-0	76,109
12	November 22, 1990	Denver Broncos	W 40-27	73,896
13	December 2, 1990	at Chicago Bears	L 23-17 OT	62,313
14	December 10, 1990	Los Angeles Raiders	L 38-31	72,190
15	December 16, 1990	Chicago Bears	W 38-21	67,759
16	December 22, 1990	at Green Bay Packers	W 24-17	46,700
17	December 30, 1990	at Seattle Seahawks	L 30-10	50,681
