Place	Player	Country	Score	To par	Money ( $ )
T1	Lawson Little	United States	72-69-73-73=287	–1	Playoff
T1	Gene Sarazen	United States	71-74-70-72=287	–1	Playoff
3	Horton Smith	United States	69-72-78-69=288	E	700
4	Craig Wood	United States	72-73-72-72=289	+1	600
T5	Ralph Guldahl	United States	73-71-76-70=290	+2	325
T5	Ben Hogan	United States	70-73-74-73=290	+2	325
T5	Lloyd Mangrum	United States	75-70-71-74=290	+2	325
T5	Byron Nelson	United States	72-74-70-74=290	+2	325
9	Dick Metz	United States	75-72-72-72=291	+3	175
T10	Ed Dudley	United States	73-75-71-73=292	+4	137
T10	Frank Walsh	United States	73-69-71-79=292	+4	137
