Place	Player	Country	Score	To par
1	Tiger Woods	United States	66-67-71=204	−12
2	José María Olazábal	Spain	68-70-68=206	−10
T3	Retief Goosen	South Africa	68-73-66=207	−9
T3	Colin Montgomerie	Scotland	71-66-70=207	−9
T5	Brad Faxon	United States	72-66-70=208	−8
T5	Sergio García	Spain	70-69-69=208	−8
T7	Michael Campbell	New Zealand	69-72-68=209	−7
T7	Vijay Singh	Fiji	69-69-71=209	−7
T9	Bart Bryant	United States	69-70-71=210	−6
T9	Tim Clark	South Africa	71-69-70=210	−6
T9	Darren Clarke	Northern Ireland	73-70-67=210	−6
T9	John Daly	United States	71-69-70=210	−6
T9	Søren Hansen	Denmark	72-72-66=210	−6
T9	Maarten Lafeber	Netherlands	73-70-67=210	−6
T9	Bernhard Langer	Germany	71-69-70=210	−6
T9	Sandy Lyle	Scotland	74-67-69=210	−6
T9	Sean O'Hair	United States	73-67-70=210	−6
T9	Kenny Perry	United States	71-71-68=210	−6
T9	Scott Verplank	United States	68-70-72=210	−6
