Week	Date	Opponent	Result	Attendance
1	September 3, 2000	Tampa Bay Buccaneers	L 21–16	60,292
2	September 11, 2000	at New York Jets	L 20–19	77,687
3	September 17, 2000	Minnesota Vikings	L 21–13	59,835
4	September 24, 2000	at Miami Dolphins	L 10–3	73,344
5	October 1, 2000	at Denver Broncos	W 28–19	75,684
6	October 8, 2000	Indianapolis Colts	W 24–16	60,292
7	October 15, 2000	New York Jets	L 34–17	60,292
8	October 22, 2000	at Indianapolis Colts	L 30–23	56,828
9	Bye	Bye	Bye	Bye
10	November 5, 2000	Buffalo Bills	L 16–13	60,292
11	November 12, 2000	at Cleveland Browns	L 19–11	72,618
12	November 19, 2000	Cincinnati Bengals	W 16–13	60,292
13	November 23, 2000	at Detroit Lions	L 34–9	77,923
14	December 4, 2000	Kansas City Chiefs	W 30–24	50,328
15	December 10, 2000	at Chicago Bears	L 24–17	66,944
16	December 17, 2000	at Buffalo Bills	W 13–10	47,230
17	December 24, 2000	Miami Dolphins	L 27–24	60,292
