Rank	Nation	Gold	Silver	Bronze	Total
1	China	19	7	7	33
2	Iran	4	1	0	5
3	Turkey	3	7	9	19
4	Bulgaria	3	5	2	10
5	Egypt	3	0	0	3
6	Thailand	2	4	2	8
7	Ukraine	2	1	4	7
8	Romania	2	1	1	4
9	Qatar	2	1	0	3
10	Russia	1	7	4	12
11	North Korea	1	1	1	3
12	Belarus	1	0	3	4
13	Australia	1	0	2	3
14	Moldova	1	0	1	2
15	Indonesia	0	3	1	4
16	South Korea	0	2	2	4
17	Hungary	0	2	1	3
18	Latvia	0	1	1	2
19	Chinese Taipei	0	1	0	1
19	Poland	0	1	0	1
21	Azerbaijan	0	0	2	2
22	Canada	0	0	1	1
22	Ecuador	0	0	1	1
Total	Total	45	45	45	135
