Week	EASTERN #1	Eastern #2	WESTERN #1	Western #2
1	N.Y. JETS	Hou, Bos, Buf, Mia	Oak, KC, Den, Cin	Oak, KC, Den, Cin
2	Hou, NY	Hou, NY	Oak, KC, Den, Cin	Oak, KC, Den, Cin
3	HOUSTON	NY, Buf	Oak, Cin	Oak, Cin
4	HOUSTON	N.Y. Jets	OAKLAND	Kansas City
5	NY, Hou	NY, Hou	OAKLAND	Kansas City
6	N.Y. JETS	Houston	OAKLAND	Kansas City
7	N.Y. JETS	Houston	OAKLAND	Kansas City
8	N.Y. JETS	Houston	KANSAS CITY	Oakland
9	N.Y. JETS	Houston	KANSAS CITY	Oakland
10	N.Y. JETS	Houston	KANSAS CITY	Oakland
11	N.Y. JETS	Houston	OAKLAND	Kansas City
12	N.Y. JETS	Houston	OAKLAND	Kansas City
13	N.Y. JETS	Houston	OAKLAND	Kansas City
14	N.Y. JETS	Houston	OAKLAND	Kansas City
