Series #	Title	Directed by	Written by	Original air date	Production code
1	"Red Door"	John Fawcett	Alan DiFiore	March5,2010	101
2	"Paint it Black"	John Fawcett	Alan DiFiore	March5,2010	102
3	"Fat Lady Sings the Blues"	John Fawcett	Alan DiFiore	March12,2010	103
4	"The Unguarded Moment"	Stuart Margolin	Dannis Koromilas John McFetridge	March19,2010	104
5	"Vexation of Spirit"	Holly Dale	Graeme Manson	March26,2010	105
6	"Damned If You Do"	Paul A. Kaufman	Tracey Forbes	April2,2010	106
7	"God Bless the Child"	Holly Dale	Peter Mohan	April9,2010	107
8	"Brown Sugar"	John Fawcett	Alan DiFiore	April16,2010	108
9	"Painted Ladies"	Helen Shaver	John McFetridge	April23,2010	109
10	"Never Let Me Down Again"	John Fawcett	Dannis Koromilas	April30,2010	110
11	"The Blame Game"	Helen Shaver	Peter Mohan	May7,2010	111
12	"Voice Carry"	John Fawcett	Tracey Forbes Graeme Manson	May14,2010	112
