Date	Tournament	Surface	Partner	Opponents in final	Score
24 July 2000	San Marino	Clay	Tomáš Cibulec	Albert Portas Fernando Vicente	6–4, 6–4
28 July 2002	Sopot , Poland	Clay	František Čermák	Jeff Coetzee Nathan Healey	7–5, 7–5
13 April 2003	Casablanca , Morocco	Clay	František Čermák	Devin Bowen Ashley Fisher	6–3, 7–5
25 July 2004	Kitzbühel , Austria	Clay	František Čermák	Lucas Arnold Ker Martín García	6–3, 7–5
15 August 2004	Sopot , Poland	Clay	František Čermák	Martín García Sebastián Prieto	2–6, 6–2, 6–3
13 February 2005	Buenos Aires , Argentina	Clay	František Čermák	José Acasuso Sebastián Prieto	6–2, 7–5
20 February 2005	Costa Do Sauipe , Brazil	Clay	František Čermák	José Acasuso Ignacio González King	6–4, 6–4
10 April 2005	Casablanca , Morocco	Clay	František Čermák	Martín García Luis Horna	6–4, 6–3
1 May 2005	Estoril , Portugal	Clay	František Čermák	Juan Ignacio Chela Tommy Robredo	6–3, 6–4
10 July 2005	Gstaad , Switzerland	Clay	František Čermák	Michael Kohlmann Rainer Schüttler	7–6 (8–6) , 7–6 (13–11)
25 July 2004	Kitzbühel , Austria	Clay	Andrei Pavel	Christophe Rochus Olivier Rochus	6–2, 6–7 (5–7) , 6–0
19 February 2006	Buenos Aires , Argentina	Clay	František Čermák	Vasilis Mazarakis Boris Pašanski	6–1, 6–2
5 March 2006	Acapulco , Mexico	Clay	František Čermák	Potito Starace Filippo Volandri	7–5, 6–2
6 August 2006	Sopot , Poland	Clay	František Čermák	Martín García Sebastián Prieto	6–3, 7–5
22 July 2007	Stuttgart , Germany	Clay	František Čermák	Guillermo García López Fernando Verdasco	6–4, 6–4
1 August 2010	Umag , Croatia	Clay	Filip Polášek	František Čermák Michal Mertiňák	6–3, 7–6 (9–7)
