Name	Country	Birth Date	Date	Earned	Peak rating (Nov 2012)
Nona Gaprindashvili	Georgia	1941-05-03	1978	WCC	2495
Maia Chiburdanidze	Georgia	1961-01-17	1984	WCC	2560
Susan Polgar	Hungary United States	1969-04-19	1991	norms	2577
Judit Polgár	Hungary	1976-07-23	1991	norms	2735
Xie Jun	China	1970-10-30	1991	WCC	2574
Pia Cramling	Sweden	1963-04-23	1992	norms	2550
Zhu Chen	China Qatar	1976-03-16	2001	norms	2548
Humpy Koneru	India	1987-03-31	2002	norms	2623
Antoaneta Stefanova	Bulgaria	1979-04-19	2003	norms	2560
Alexandra Kosteniuk	Russia	1984-03-23	2004	EWC	2540
Peng Zhaoqin	China Netherlands	1968-05-08	2004	EWC	2472
Hoang Thanh Trang	Vietnam Hungary	1980-04-25	2007	norms	2501
Kateryna Lahno	Ukraine	1989-12-27	2007	norms	2557
Xu Yuhua	China	1976-10-29	2007	WCC	2517
Marie Sebag	France	1986-10-15	2008	norms	2533
Zhao Xue	China	1985-04-06	2008	norms	2565
Hou Yifan	China	1994-02-27	2008	norms	2639
Nana Dzagnidze	Georgia	1987-01-01	2008	norms	2567
Monika Soćko	Poland	1978-03-24	2008	norms	2505
Ketevan Arakhamia-Grant	Georgia Scotland	1968-07-19	2009	norms	2506
Tatiana Kosintseva	Russia	1986-04-11	2009	norms	2581
Natalia Zhukova	Ukraine	1979-06-05	2010	norms	2499
Elina Danielian	Armenia	1978-08-16	2010	norms	2521
Viktorija Čmilytė	Lithuania	1983-08-06	2010	norms	2528
Nadezhda Kosintseva	Russia	1985-01-14	2011	norms	2576
Dronavalli Harika	India	1991-01-12	2011	norms	2525
Anna Muzychuk	Ukraine Slovenia	1990-02-28	2012	norms	2606
Anna Ushenina	Ukraine	1985-08-30	2012	WCC	2502
Valentina Gunina	Russia	1989-02-04	2013	norms	2533
