District	Incumbent	Party	First elected	Result	Candidates
California 3	John E. Moss	Democratic	1952	Retired Democratic hold	Bob Matsui (D) 53.4% Sandy Smoley (R) 46.6%
California 4	Robert L. Leggett	Democratic	1962	Retired Democratic hold	Victor H. Fazio (D) 55.4% Rex Hime (R) 44.6%
California 5	John L. Burton	Democratic	1974	Re-elected	John L. Burton (D) 66.8% Dolores Skore (R) 33.2%
California 8	Ron Dellums	Democratic	1970	Re-elected	Ron Dellums (D) 57.4% Charles V. Hughes (R) 42.6%
California 10	Don Edwards	Democratic	1962	Re-elected	Don Edwards (D) 67.1% Rudy Hansen (R) 32.9%
California 15	Bernice F. Sisk	Democratic	1954	Retired Democratic hold	Tony Coelho (D) 60.1% Chris Patterakis (R) 39.9%
California 16	Leon Panetta	Democratic	1976	Re-elected	Leon Panetta (D) 61.4% Eric Seastrand (R) 38.6%
California 17	John Hans Krebs	Democratic	1974	Lost re-election Republican gain	Chip Pashayan (R) 54.5% John Hans Krebs (D) 45.5%
California 20	Barry Goldwater, Jr.	Republican	1969	Re-elected	Barry Goldwater, Jr. (R) 66.4% Pat Lear (D) 33.6%
California 26	John H. Rousselot	Republican	1970	Re-elected	John H. Rousselot (R) Unopposed
California 27	Bob Dornan	Republican	1976	Re-elected	Bob Dornan (R) 51.0% Carey Peck (D) 49.0%
California 30	George E. Danielson	Democratic	1970	Re-elected	George E. Danielson (D) 71.4% Henry Ares (R) 28.6%
California 31	Charles H. Wilson	Democratic	1962	Re-elected	Charles H. Wilson (D) 67.8% Don Grimshaw (R) 32.2%
California 35	James F. Lloyd	Democratic	1974	Re-elected	James F. Lloyd (D) 54.0% David Dreier (R) 46.0%
California 38	Jerry M. Patterson	Democratic	1974	Re-elected	Jerry M. Patterson (D) 58.6% Dan Goedeke (R) 41.4%
California 40	Robert Badham	Republican	1976	Re-elected	Robert Badham (R) 65.9% Jim McGuy (D) 34.1%
California 41	Bob Wilson	Republican	1952	Re-elected	Bob Wilson (R) 58.1% King Golden, Jr. (D) 41.9%
