Place	Player	Country	Score	To par	Money ( $ )
1	Cyril Walker	England	74-74-74-75=297	+9	500
2	Bobby Jones (a)	United States	74-73-75-78=300	+12	0
3	Bill Mehlhorn	United States	72-75-76-78=301	+13	300
T4	Bobby Cruickshank	Scotland	77-72-76-78=303	+15	150
T4	Walter Hagen	United States	75-75-76-77=303	+15	150
T4	Macdonald Smith	United States	78-72-77-76=303	+15	150
T7	Abe Espinosa	United States	80-71-77-77=305	+17	85
T7	Peter O'Hara	United States	76-79-74-76=305	+17	85
9	Mike Brady	United States	75-77-77-77=306	+18	75
T10	Chick Evans (a)	United States	77-77-76-77=307	+19	0
T10	Eddie Loos	United States	73-81-75-78=307	+19	63
T10	Dave Robertson	United States	73-76-77-81=307	+19	63
