Team	Head coach	Team captain	Kitmaker	Shirt sponsor
Alemannia Aachen	Michael Krüger	Benjamin Auer	Nike	Aachen Münchener
Rot Weiss Ahlen	Christian Hock	Daniel Thioune	Jako	Reflex
FC Augsburg	Jos Luhukay	Lars Müller	Do You Football	Impuls
1. FC Union Berlin	Uwe Neuhaus	Marco Gebhardt	Do You Football	KFZTeile24
Arminia Bielefeld	Detlev Dammeier Frank Eulberg Jörg Böhme	Rüdiger Kauf	Saller	Krombacher
FC Energie Cottbus	Claus-Dieter Wollitz	Timo Rost	Saller	enviaM
MSV Duisburg	Milan Šašić	Tom Starke	uhlsport	Rheinpower
Fortuna Düsseldorf	Norbert Meier	Andreas Lambertz	Puma	Sparkasse (Düsseldorf)
FSV Frankfurt	Hans-Jürgen Boysen	Sead Mehić	Legea	Hyundai
SpVgg Greuther Fürth	Michael Büskens	Marino Biliskov	Jako	Karstadt Quelle Versicherungen
1. FC Kaiserslautern	Marco Kurz	Martin Amedick	Do You Football	Deutsche Vermögensberatung
Karlsruher SC	Markus Schupp	Alexander Iashvili	Nike	EnBW
TuS Koblenz	Petrik Sander	Manuel Hartmann	Nike	Rhein-Zeitung
TSV 1860 Munich	Ewald Lienen	Benjamin Lauth	erima	trenkwalder
Rot-Weiß Oberhausen	Hans-Günter Bruns (Interim)	Benjamin Reichert	uhlsport	Vatro
SC Paderborn 07	Andre Schubert	Markus Krösche	Puma	Finke
F.C. Hansa Rostock	Marco Kostmann	Martin Retov	Masita	Windstärke 11
FC St. Pauli	Holger Stanislawski	Fabio Morena	Do You Football	Dacia
