Year	English title	Original title	Country	Director(s)
2000	Yi Yi: A One and a Two	Yi yi	Japan/Taiwan	Edward Yang
2001	In the Mood for Love	Fa yeung nin wa	France/Hong Kong	Wong Kar-wai
2002	And Your Mother Too	Y tu mamá también	Mexico	Alfonso Cuarón
2003	City of God	Cidade de Deus	Brazil	Fernando Meirelles
2004	Bad Education	La mala educación	Spain	Pedro Almodóvar
2005	2046	2046	China/Hong Kong	Wong Kar-wai
2006	Army of Shadows	L'armée des ombres	France/Italy	Jean-Pierre Melville
2007	The Lives of Others	Das Leben der Anderen	Germany	Florian Henckel von Donnersmarck
2008	4 Months, 3 Weeks and 2 Days	4 luni, 3 săptămâni şi 2 zile	Romania	Cristian Mungiu
2009	Summer Hours	L'heure de été	France	Olivier Assayas
