Tie no	Home team	Score	Away team	Date
1	Enfield	2–0	Hereford United	13 December 1980
2	Barnet	0–1	Peterborough United	13 December 1980
3	Burnley	1–1	Port Vale	13 December 1980
Replay	Port Vale	2–0	Burnley	16 December 1980
4	Bury	2–0	Lincoln City	13 December 1980
5	Gillingham	0–0	Maidstone United	13 December 1980
Replay	Maidstone United	0–0	Gillingham	16 December 1980
Replay	Gillingham	0–2	Maidstone United	22 December 1980
6	Doncaster Rovers	2–1	Blackpool	13 December 1980
7	Sheffield United	1–1	Chesterfield	13 December 1980
Replay	Chesterfield	1–0	Sheffield United	16 December 1980
8	Tranmere Rovers	0–3	Huddersfield Town	13 December 1980
9	Fulham	1–0	Brentford	13 December 1980
10	Plymouth Argyle	3–0	Oxford United	13 December 1980
11	Millwall	0–1	Exeter City	13 December 1980
12	Hull City	1–1	Blyth Spartans	13 December 1980
Replay	Blyth Spartans	2–2	Hull City	16 December 1980
Replay	Hull City	2–1	Blyth Spartans	22 December 1980
13	Carlisle United	3–0	Walsall	13 December 1980
14	Wimbledon	2–0	Swindon Town	13 December 1980
15	St Albans City	1–1	Torquay United	13 December 1980
Replay	Torquay United	4–1	St Albans City	17 December 1980
16	Scunthorpe United	0–0	Altrincham	13 December 1980
Replay	Altrincham	1–0	Scunthorpe United	15 December 1980
17	Charlton Athletic	2–1	Bournemouth	13 December 1980
18	Rotherham United	0–1	Barnsley	13 December 1980
19	Colchester United	1–1	Yeovil Town	13 December 1980
Replay	Yeovil Town	0–2	Colchester United	17 December 1980
20	Mossley F.C.	1–3	Mansfield Town	13 December 1980
