Year	Location	Distance (miles)	Rider Names	Horse Name	Best-Conditioned Horse
2012	Bandit Springs, OR	33	Ben Volk, Dennis Summers (M/M)	OMR Tsunami	Magic Sirocco
2011	Humboldt Redwoods State Park, CA	35	Sara Howard, Jim Howard (M/W)	Magic Sirocco	Ron G
2010	Mt. Adams, WA	35	Sara Howard, Jim Howard (M/W)	Magic Sirocco	Freedom
2009	Humboldt Redwoods State Park, CA	34	Susanne Rowland, Michelle Andreotti (W/W)	Over Amile	Over Amile
2008	Taylorsville, CA	34	Sara Howard, Jim Howard (M/W)	Magic Sirocco	Magic Sirocco
2007	Humboldt Redwoods State Park, CA	34	Tom Johnson, Rufus Schneider (M/W)	Koona	Lakota Mare
2006	Santa Ysabel, CA	30	Tom Gey, Jim Howard (M/M)	Magic Sirocco	Basia
2005	Libby, MT	33	Jim Howard, Mark Richtman (M/M)	Magic Sirocco	Magic Sirocco
2004	Fort Bragg, CA	34	Jim Howard, Dennis Rinde (M/M)	Magic Sirocco	Yaquar Adonai
2003	Euer Valley, CA	31	Jim Howard, Dennis Rinde (M/M)	Magic Sirocco	Magic Sirocco
2002	Euer Valley, CA	31	Con Wadsworth, Tod Wadsworth (M/M)	Baurakal Khan	Fire
2001	Euer Valley, CA	35	Chris Turney, William Emerson (M/M)	Budweiser	Magic Sirocco
