Club	Location	Stadium	Capacity	Manager	Kitmaker
AC Oulu	Oulu	Castrén	4000	Juha Malinen	Umbro
FC Honka	Espoo	Tapiolan Urheilupuisto	6000	Mika Lehkosuo	Kappa
FC Inter	Turku	Veritas Stadion	9372	Job Dragtsma	Nike
FC Lahti	Lahti	Lahden Stadion	15000	Ilkka Mäkelä	Umbro
FF Jaro	Jakobstad	Jakobstads Centralplan	5000	/ Alexei Eremenko Sr.	Errea
Haka	Valkeakoski	Tehtaan kenttä	3516	Sami Ristilä	Umbro
HJK	Helsinki	Sonera Stadium	10770	Antti Muurinen	Adidas
IFK Mariehamn	Mariehamn	Wiklöf Holding Arena	4000	Pekka Lyyski	Puma
JJK	Jyväskylä	Harjun stadion	3000	Kari Martonen	Legea
KuPS	Kuopio	Kuopion keskuskenttä	5000	Esa Pekonen	Puma
MYPA	Anjalankoski	Saviniemi	4167	Janne Lindberg	Puma
Tampere United	Tampere	Ratina Stadion	17000	Ari Hjelm	Puma
TPS	Turku	Veritas Stadion	9372	Marko Rajamäki	Puma
