Rank	Title	Studio	Director	Gross
1.	Ghostbusters	Columbia	Ivan Reitman	$238,632,124
2.	Beverly Hills Cop	Paramount	Martin Brest	$234,760,478
3.	Indiana Jones and the Temple of Doom	Paramount / Lucasfilm	Steven Spielberg	$179,870,271
4.	Gremlins	Warner Bros.	Joe Dante	$153,168,459
5.	The Karate Kid	Columbia	John G. Avildsen	$90,815,558
6.	Police Academy	Ladd / Warner Bros.	Hugh Wilson	$81,198,894
7.	Footloose	Paramount	Herbert Ross	$80,035,402
8.	Romancing the Stone	20th Century Fox	Robert Zemeckis	$78,371,200
9.	Star Trek III: The Search for Spock	Paramount	Leonard Nimoy	$76,572,238
10.	Splash	Touchstone	Ron Howard	$69,821,334
11.	Purple Rain	Warner Bros.	Albert Magnoli	$68,392,977
12.	Amadeus	Orion	Miloš Forman	$51,564,280
13.	Tightrope	Warner Bros.	Richard Tuggle	$48,143,579
14.	The Natural	Tri-Star	Barry Levinson	$47,951,979
15.	Greystoke: The Legend of Tarzan, Lord of the Apes	Warner Bros.	Hugh Hudson	$45,858,563
16.	Revenge of the Nerds	20th Century Fox	Jeff Kanew	$40,874,452
17.	2010: The Year We Make Contact	MGM/UA	Peter Hyams	$40,400,657
18.	Breakin'	MGM/UA	Joel Silberg	$38,682,707
19.	Bachelor Party	20th Century Fox	Neal Israel	$38,435,947
20.	Red Dawn	United Artists	John Milius	$38,376,497
