Rank	Country/Territory	Nuestra Belleza Latina	1st runner-up	2nd runner-up	3rd runner-up	4th runner-up	5th runner-up	6th runner-up	7th runner-up	8th runner-up	9th runner-up	10th runner-up	11th runner-up	Top 18/20/24/30	Total
1	Mexico	2	3	0	1	4	1	2	3	1	4	3	3	15	42
2	Puerto Rico	2	1	3	0	0	2	3	1	4	0	2	0	17	35
3	El Salvador	1	1	0	0	0	0	0	0	0	0	0	0	1	2
4	Cuba	1	0	1	2	1	1	0	0	1	1	0	0	11	19
5	Nicaragua	1	0	0	0	0	0	0	0	0	0	2	0	3	6
6	Colombia	0	1	1	1	0	2	0	0	0	0	0	1	3	9
7	Dominican Republic	0	1	0	2	2	1	0	1	0	1	0	1	5	14
8	Venezuela	0	0	1	1	0	0	0	1	0	1	0	0	5	9
9	Ecuador	0	0	1	0	0	0	1	0	0	0	0	0	1	3
10	Honduras	0	0	0	0	0	0	1	1	0	0	0	0	0	2
11	Guatemala	0	0	0	0	0	0	0	0	1	0	0	0	0	1
12	Argentina	0	0	0	0	0	0	0	0	0	0	0	1	1	2
13	Chile	0	0	0	0	0	0	0	0	0	0	0	0	1	1
14	Peru	0	0	0	0	0	0	0	0	0	0	0	0	1	1
15	Panama	0	0	0	0	0	0	0	0	0	0	0	0	1	1
16	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	1	1
