Name	No. Specimens	Abbr.	Country	City
Real Jardín Botánico	850,000	MA	Spain	Madrid
University of Coimbra	800,000	COI	Portugal	Coimbra
Institut Botànic de Barcelona	700,000	BC	Spain	Barcelona
Instituto de Investigação Científica Tropical	300,000	LISC	Portugal	Lisbon
Universitat de Barcelona	300,000	BCN	Spain	Barcelona
Universitat de Sevilla	300,000	SEV	Spain	Seville
Instituto Pirenaico de Ecología, C.S.I.C.	260,000	JACA	Spain	Jaca
Museu Nacional de História Natural, Lisboa	250,000	LISU	Portugal	Lisbon
Universidad Complutense	175,000	MAF	Spain	Madrid
Universitat de València	160,000	VAL	Spain	Valencia
Museo de Ciencias Naturales de Alava	140,000	VIT	Spain	Vitoria-Gasteiz
Universidad de Salamanca	110,000	SALA	Spain	Salamanca
Estação Agronómica Nacional	90,000	LISE	Portugal	Oeiras
Universidad de La Laguna	83,000	TFC	Spain	La Laguna , Canary Islands
Universidad de Córdoba	80,000	COA	Spain	Córdoba
Universidad de León	78,000	LEB	Spain	León
Alto de Zorroaga s.n.	75,000	ARAN	Spain	Donostia-San Sebastián
Universidade do Porto	73,800	PO	Portugal	Porto
Universidad de Santiago de Compostela	71,000	SANT	Spain	Santiago de Compostela , Galicia
Universidad de Murcia	61,000	MUB	Spain	Murcia
Universidad de Málaga	55,000	MGC	Spain	Málaga
Universidad de Alicante	50,000	ABH	Spain	Alicante
Jardín Botánico Atlántico, Ayuntamiento de Gijón	50,000	JBAG	Spain	Gijón , Asturias
