Season	Skip	Third	Second	Lead
2003–04	Pete Fenson	Eric Fenson	Shawn Rojeski	John Shuster
2004–05	Pete Fenson	Shawn Rojeski	Joe Polo	John Shuster
2005–06	Pete Fenson	Shawn Rojeski	Joe Polo	John Shuster
2006–07	Pete Fenson	Shawn Rojeski	Joe Polo	John Shuster
2006–07	John Shuster	Jeff Isaacson	Chris Plys	Shane McKinlay
2008–09	John Shuster	Jason Smith	Jeff Isaacson	John Benton
2009–10	John Shuster	Jason Smith	Jeff Isaacson	John Benton
2010–11	Craig Brown	John Shuster	Greg Johnson	Derrick Casper
2011–12	John Shuster	Zach Jacobson	Jared Zezel	John Landsteiner
2012–13	John Shuster	Jeff Isaacson	Jared Zezel	John Landsteiner
