Date	Venue	Opponents	Score	Attendance
2003-04-08	Värendsvallen	Öster	4-0	13 215
2003-04-14	Stadion	Halmstad	2-0	13 023
2003-04-21	Stadion	Elfsborg	5-0	12 537
2003-04-26	Eyravallen	Örebro	0-1	11 126
2003-05-06	Stadion	Göteborg	3-1	13 726
2003-05-11	Enavallen	Enköping	4-0	9 102
2003-05-18	Råsunda	Sundsvall	2-0	13 114
2003-05-26	Olympia	Helsingborg	1-2	12 899
2003-06-02	Råsunda	AIK	3-3	35 197
2003-06-15	Landskrona IP	Landskrona	2-1	7 242
2003-06-23	Stadion	Malmö	0-2	13 948
2003-06-30	Råsunda	Hammarby	3-0	34 267
2003-07-09	Stadion	Örgryte	0-3	12 845
2003-07-17	Ullevi	Örgryte	3-0	25 281
2003-07-21	Stadion	Örebro	3-0	13 136
2003-08-02	Ryavallen	Elfsborg	2-0	9 118
2003-08-09	Stadion	Enköping	3-2	11 017
2003-09-24	Ullevi	Göteborg	0-1	15 052
2003-08-23	Stadion	Landskrona	3-0	12 819
2003-09-01	Råsunda	AIK	2-1	30 609
2003-09-16	Råsunda	Hammarby	3-2	35 611
2003-09-21	Malmö Stadion	Malmö	1-2	26 812
2003-09-28	Stadion	Helsingborg	1-0	13 815
2003-10-06	Idrottsparken	Sundsvall	4-1	7 675
2003-10-19	Örjans Vall	Halmstad	3-2	10 134
2003-10-26	Stadion	Öster	5-2	13 815
