Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	73	1:36:30.883	1
Rubens Barrichello	Ferrari	73	+12.118	4
Heinz-Harald Frentzen	Jordan - Mugen-Honda	73	+17.368	7
Jacques Villeneuve	BAR - Honda	73	+17.936	8
David Coulthard	McLaren - Mercedes	73	+28.813	2
Ricardo Zonta	BAR - Honda	73	+51.694	12
Eddie Irvine	Jaguar - Cosworth	73	+1:11.115	17
Pedro Diniz	Sauber - Petronas	72	+1 Lap	9
Nick Heidfeld	Prost - Peugeot	72	+1 Lap	16
Alexander Wurz	Benetton - Playlife	72	+1 Lap	11
Johnny Herbert	Jaguar - Cosworth	72	+1 Lap	19
Marc Gené	Minardi - Fondmetal	72	+1 Lap	22
Jean Alesi	Prost - Peugeot	64	Engine	20
Gastón Mazzacane	Minardi - Fondmetal	59	Engine	21
Ralf Schumacher	Williams - BMW	58	Engine	10
Pedro de la Rosa	Arrows - Supertec	45	Gearbox	18
Giancarlo Fisichella	Benetton - Playlife	44	Engine	15
Jos Verstappen	Arrows - Supertec	34	Brakes	13
Mika Häkkinen	McLaren - Mercedes	25	Engine	3
Mika Salo	Sauber - Petronas	18	Spun off	14
Jenson Button	Williams - BMW	14	Engine	6
Jarno Trulli	Jordan - Mugen-Honda	12	Collision	5
