Date	Region	Label	Format	Catalog
1977	Australia	CBS	LP	SBP 234999
1977	Australia	CBS	2LP	SBP 241031
1977	Australia	CBS	CAS	PC 4999
1977	Australia	Rainbow	CAS	RSV-001
1977	Australia	Summit/Rainbow	CAS	SUL 3001
1980	Japan	Epic/Sony	LP	25•3P-238
1981	Australia	Harmony	LP	HC 15070
1981	Australia	Harmony	CAS	TCHC 15070
1981	Australia	Summit/Rainbow	CAS	SC 3036
1988	Australia	Columbia/ Sony	CD	463016 2
1988	Australia	CBS/Disctronics	CD	463016 2
1988	Australia	CBS	CAS	463016 4
1991	Japan	Epic/Sony	CD	ESCA 5390
1992	Australia	Rainbow	2CD	2RCD 111/112
1996	Korea	Columbia/Sony	CD	486553.2
1996	Korea	Columbia/Sony	CAS	486553.4
2002	Japan	Epic	CD	EICP 7033
