Year	Champion	Winning Score	Low Amateur	Low Professional
2013	Elise Swartout	216 (E)	Not Avail	Nicole Jeray 216 (E)
2012	Samantha Troyanovich	216 (E)	Samantha Troyanovich	Not Avail 216 (E)
2011	Jenna Pearson	216 (E)	Not Avail	Not Avail 216 (E)
2010	Allison Fouch	217 (+1)	Katherine Hepler	Allison Fouch 217 (+1)
2009	a-Aimee Neff	209 (−7)	Aimee Neff	Brittany Johnston 212 (−4)
2008	a-Aimee Neff 7	208 (−8)	Aimee Neff	Seul Ki Park 214 (−2)
2007	a-Nicole Schachner 6	215 (−1) playoff	Nicole Schachner	Jenna Pearson 215 (−1)
2006	a-Jenna Pearson	208 (−8)	Jenna Pearson	Carolyn Barnett-Howe 213 (−3)
2005	a-Annika Welander 5	207 (−9)	Annika Welander	Allison Finney 208 (−8)
2004	Sarah Johnston 4	212 (−4)	Noriko Nakazaki 217 (+1)	Sarah Johnston
2003	Nicole Jeray	212 (−4)	Alexis Wooster 219 (+3)	Nicole Jeray
2002	Maria Long	217 (−1)	Rebecca Halpern 222 (+6) Sarah Pesavento 222 (+6)	Maria Long
2001	a-Emily Gilley	223 (+7)	Emily Gilley	Dagne Root 229 (+13)
2000	a-Emily Gilley	217 (+1)	Emily Gilley	Jennifer Broggi 219 (+3)
1999	a-Kerry Postillion	214 (−2)	Kerry Postillion	Margie Arnold 216 (E)
1998	Nicole Jeray	211 (−5)	Kerry Postillion 215 (−1)	Nicole Jeray
1997	a-Kerry Postillion 3	218 (+2) playoff	Kerry Postillion	Diane Daugherty 218 (+2)
1996	a-Kerry Postillion 2	219 (+3)	Kerry Postillion	Margie Arnold 227 (+11)
1995	Diane Daugherty 1	139 (−5) rain shortened	Kristin Milligan 146 (+2)	Diane Daugherty
