No.	English name	Bulgarian name	Bulgarian name ( Transliteration )	Old Bulgarian Names	Old Bulgarian name (Transliteration)	Old Bulgarian name - Meaning
1	January	Януари	Yanuari	Просинец, Колог, Коложег, Голям сечко	Prosinets, Kolog, Kolozheg, Golyam sechko	Month of burning trunks
2	February	Февруари	Fevruari	Съчен, Сечко, Малък сечко	Sachen, Sechko, Malak sechko	Month of dreadful ice
3	March	Март	Mart	Сух	Suh	Dry month
4	April	Април	April	Брязок	Bryazok	Colorful month
5	May	Май	May	Тръвен	Traven	Grass month
6	June	Юни	Yuni	Изок, Червеник	Izok, Chervenik	Red month
7	July	Юли	Yuli	Чръвенъ, жетар, жътвар, сърпен	Chraven, Zhetar, Zhatvar, Sarpen	Harvesting month
8	August	Август	Avgust	Орач, Зарев	Orach, Zarev	Tillage month
9	September	Септември	Septemvri	Руен, Руй	Ruen, Ruy	Bounteous month
10	October	Октомври	Oktomvri	Листопад	Listopad	Month of falling leaves
11	November	Ноември	Noemvri	Груден	Gruden	Month of tubers
