Year	Winner	Jockey	Trainer	Owner	Distance (Miles)	Time
2010	More Than a Reason	Eddie Castro	Randy Persaud	Anthony Calabrese	1-3/16	1:57.69
2009	Rodman	Javier Castellano	Michael E. Hushion	Barry K. Schwartz	1-3/16	1:57.00
2008	Researcher	Mike Luzzi	Jeff C. Runco	Rutledge Farm	1-3/16	1:55.87
2007	Evening Attire	Edgar Prado	Patrick J. Kelly	T. J. Kelly /Joseph & Mary Grant	1-3/16	1:58.01
2006	Magna Graduate	John Velazquez	Todd Pletcher	Elisabeth Alexander	1-3/16	1:55.19
2005	Philanthropist	Eibar Coa	Claude R. McGaughey III	Phipps Stable	1-3/16	1:56.99
2004	Classic Endeavor	Aaron Gryder	Richard E. Dutrow, Jr.	Sullivan Lane, Scuderi	1-3/16	1:57.13
2003	Thunder Blitz	Jorge F. Chavez	Richard E. Dutrow, Jr.	Stronach Stable	1-3/16	1:55.90
2002	Snake Mountain	Jose A. Santos	James A. Jerkens	Berkshire Stud, et al.	1-3/16	1:56.84
2001	Evening Attire	Shaun Bridgmohan	Patrick J. Kelly	Mary Grant	1-3/16	1:55.08
2000	Boston Party	Norberto Arroyo, Jr.	Leonard Imperio	Ann Fostock	1-3/16	1:56.32
1999	Early Warning	Jorge F. Chavez	Todd Pletcher	Dogwood Stable	1-3/16	1:55.03
1998	Fire King	Frank Lovato, Jr.	Michael E. Hushion	Schwartz & Hauman	1-3/16	1:56.88
1997	Mr. Sinatra	Richard Migliore	Gasper Moschera	Barbara J. Davis	1-3/16	1:55.68
1996	Topsy Robsy	Paula-Keim Bruno	H. Allen Jerkens	Hobeau Farm	1-3/16	1:55.30
1995	Aztec Empire	Jean-Luc Saymn	H. Allen Jerkens	Hobeau Farm	1-3/16	1:55.56
1994	Federal Funds	Dennis Carr	Murray M. Garren	Murray M. Garren	1-3/16	1:56.42
1993	Repletion	Mike E. Smith	William I. Mott	Bud C. Hatfield	1-3/16	1:44.35
1992	Shots Are Ringing	John Velazquez	Peter Ferriola	Jewel E. Stable	1-3/16	1:54.90
1991	Nome	Eddie Maple	Peter Ferriola	James Riccio	1-3/16	1:56.00
1990	Sport View	Craig Perret	D. Wayne Lukas	Edward A. Cox, Jr.	1-3/16	1:57.00
1989	Its Academic	Jerry D. Bailey	Luis Barrera	Marcus Vogel	1-3/16	1:58.00
1988	Lay Down	Jean-Luc Samyn	Claude R. McGaughey III	Ogden Mills Phipps	1-3/16	1:57.20
1987	Personal Flag	Randy Romero	Claude R. McGaughey III	Ogden Phipps	1-3/16	1:59.00
1986	Pine Belt	Eddie Maple	George R. Arnold II	Loblolly Stable	1-3/16	1:57.20
1985	Late Act	Eddie Maple	Robert Reinacher	Greentree Stable	1-3/16	1:55.80
1984	Puntivo	Robbie Davis	Edward I. Kelly	Kalmia Hill Stable	1-3/16	1:58.00
1983	Country Pine	Jerry D. Bailey	Thomas L. Rondinello	Daniel M. Galbreath	1-3/16	1:58.00
1982	Bar Dexter	Jeffrey Fell	Lou Mondello	Woodside Stud	1-3/16	1:58.20
1981	French Cut	Don MacBeth	Robert DeBonis	Gertrude A. Martin	1-3/16	1:56.40
1980	Fool's Prayer	Jorge Velasquez	Thomas L. Rondinello	Darby Dan Farm	1-3/16	1:56.00
1979	Dewan Keys	Eddie Maple	Philip G. Johnson	John E. Morrissey	1-3/16	1:56.80
