No. in series	No. in season	Title	Directed by	Written by	U.S. viewers (millions)	Original U.S. air date	Prod. code
50	1	"Backstage Rush"	Stewart Schill	Scott Fellows	2.3	May12,2012	301
51	2	"Big Time Returns"	Scott Fellows	Scott Fellows	2.3	June25,2012	302
52	3	"Bel Air Rush"	David Kendall	Mark Fellows & Keith Wagner	2.9	July2,2012	303
53	4	"Big Time Double Date"	Joe Menendez	Jed Spingarn	N/A	July9,2012	304
54	5	"Big Time Merchandise"	Carlos Gonzalez	Jed Spingarn	N/A	July16,2012	305
55	6	"Big Time Surprise"	Julian Petrillo	Scott Fellows	2.9	September22,2012	306
56	7	"Big Time Decision"	Jonathan Judge	Lazar Saric & Jed Spingarn	2.4	September29,2012	307
57	8	"Big Time Babysitting"	Jonathan Judge	Dan Serafin	2.8	October13,2012	308
58	9	"Big Time Gold"	Nisha Ganatra	Mark Fellows & Keith Wagner	2.6	October20,2012	311
59	10	"Big Time Camping"	David Kendall	Lazar Saric	2.5	October27,2012	309
60	11	"Big Time Rescue"	Joe Menendez	Lazar Saric	2.6	November3,2012	310
