Rank	WS Points	Name	Country	08-09 I/O best	08-09 GP/JGP best	08-09 GP/JGP 2nd	08-09 OI best	08-09 OI 2nd	07-08 I/O best	07-08 GP/JGP best	07-08 GP/JGP 2nd	07-08 OI best	07-08 OI 2nd
1	3748	Oksana Domnina / Maxim Shabalin	Russia	1200	720	400	0	0	588	560	280	0	0
2	3197	Tanith Belbin / Benjamin Agosto	United States	1080	360	360	0	0	613	504	280	0	0
3	2949	Isabelle Delobel / Olivier Schoenfelder	France	0	800	400	0	0	840	454	280	175	0
4	2883	Meryl Davis / Charlie White	United States	875	648	400	0	0	529	227	204	0	0
5	2864	Jana Khokhlova / Sergei Novitski	Russia	840	400	324	0	0	680	368	252	0	0
6	2744	Federica Faiella / Massimo Scali	Italy	756	583	400	0	0	551	227	227	0	0
7	2600	Emily Samuelson / Evan Bates	United States	680	324	292	250	0	501	378	175	0	0
8	2500	Nathalie Péchalat / Fabian Bourzat	France	787	360	324	0	0	447	330	252	0	0
9	2416	Tessa Virtue / Scott Moir	Canada	972	0	0	0	0	756	408	280	0	0
10	2367	Sinead Kerr / John Kerr	United Kingdom	680	324	324	250	0	402	204	183	0	0
11	2196	Vanessa Crone / Paul Poirier	Canada	612	360	292	0	0	451	306	175	0	0
12	2016	Madison Chock / Greg Zuerlein	United States	715	600	250	0	0	0	276	175	0	0
13	1969	Ekaterina Riazanova / Jonathan Guerreiro	Russia	579	486	250	0	0	295	201	158	0	0
14	1917	Anna Cappellini / Luca Lanotte	Italy	551	292	292	0	0	326	252	204	0	0
15	1902	Kristina Gorshkova / Vitali Butikov	Russia	0	292	262	225	203	405	340	175	0	0
16	1800	Kimberly Navarro / Brent Bommentre	United States	496	262	236	0	0	476	165	165	0	0
17	1754	Alexandra Zaretski / Roman Zaretski	Israel	339	262	213	225	0	362	204	149	0	0
18	1704	Pernelle Carron / Matthieu Jost	France	517	262	262	0	0	253	227	183	0	0
19	1700	Kaitlyn Weaver / Andrew Poje	Canada	551	236	213	0	0	386	165	149	0	0
20	1639	Madison Hubbell / Keiffer Hubbell	United States	521	540	250	0	0	328	0	0	0	0
21	1507	Kharis Ralph / Asher Hill	Canada	469	354	225	0	0	239	127	93	0	0
22	1496	Anna Zadorozhniuk / Sergei Verbillo	Ukraine	446	262	191	0	0	205	227	165	0	0
23	1443	Alisa Agafonova / Dmitri Dun	Ukraine	202	319	250	0	0	266	248	158	0	0
24	1331	Maia Shibutani / Alex Shibutani	United States	644	437	250	0	0	0	0	0	0	0
