Year	Winner	Jockey	Trainer	Time	Grade
2013	Debt Ceiling	Eric Camacho	John J. Robb	1:10.66	III
2012	Circle Unbroken	Jon Court	Gary Simms	1:11.21	III
2011	Exfactor	Calvin Borel	Bernie Flint	1:10.30	III
2010	Kantharos	Robby Albarado	Steve Asmussen	1:09.89	III
2009	Backtalk	Miguel Mena	Thomas Amoss	1:11.08	III
2008	Screen Your Friend	Calvin Borel	Bernard Flint	1:10.84	III
2007	Kodiak Kowboy	Corey Lanerie	Steve Asmussen	1:09.15	III
2006	Circular Quay	Rafael Bejarano	Todd Pletcher	1:09.96	III
2005	Deputy G	Gary L. Stevens	David Pate	1:11.38	III
2004	Lunarpal	Shane Sellers	Steve Asmussen	1:11.54	III
2003	Limehouse	Robby Albarado	Todd Pletcher	1:10.62	III
2002	Lone Star Sky	Mark Guidry	Thomas Amoss	1:09.68	III
2001	Lunar Bounty	Frank Lovato, Jr.	Ronny Werner	1:09.90	II
2000	Duality	Calvin Borel	D. Wayne Lukas	1:10.09	II
1999	Dance Master	Brian Peck	D. Wayne Lukas	1:10.38	II
1998	Time Bandit	Charles Woods Jr.	D. Wayne Lukas	1:10.78	III
1997	Favorite Trick	Pat Day	Patrick Byrne	1:09.92	III
1996	Boston Harbor	Michael Luzzi	D. Wayne Lukas	1:09.96	III
1995	A. V. Eight	Angelo Trosclair	Robert Holthus	1:11.40	III
1994	Hyroglyphic	Garrett Gomez	James Keefer	1:10.25	III
1993	Miss Ra He Ra	Willie Martinez	Glenn Wismer	1:12.98	III
1992	Mountain Cat	Charles Woods Jr.	D. Wayne Lukas	1:10.62	III
1991	Pick Up the Phone	Julio Espinoza	John Tammaro Sr.	1:12.08	III
