Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	CP Mérida	38	56+18	23	10	5	55	19	+36
2	Rayo Vallecano	38	53+15	20	13	5	61	31	+30
3	UE Lleida	38	46+8	19	8	11	54	34	+20
4	UD Salamanca	38	45+7	15	15	8	48	37	+11
5	SD Eibar	38	43+5	12	19	7	32	27	+5
6	Barcelona B	38	42+4	11	20	7	64	48	+16
7	CA Osasuna	38	41+3	14	13	11	39	35	+4
8	Real Madrid B	38	39+1	13	13	12	42	40	+2
9	Hércules CF	38	39+1	13	13	12	43	44	-1
10	Villarreal CF	38	38	11	16	11	41	36	+5
11	CD Toledo	38	38	13	12	13	49	54	-5
12	RCD Mallorca	38	38	13	12	13	53	40	+13
13	Atlético Marbella	38	34-4	13	8	17	42	54	-12
14	CD Badajoz	38	34-4	9	16	13	32	40	-8
15	CF Extremadura	38	34-4	8	18	12	35	48	-13
16	Athletic de Bilbao B	38	32-6	10	12	16	42	52	-10
17	Palamós CF 1	38	30-8	8	14	16	52	57	-5
18	Getafe CF 2	38	30-8	5	20	13	26	42	-16
19	CD Leganés 2	38	28-10	10	8	20	39	66	-27
20	CD Orense	38	20-18	4	12	22	26	71	-45
