Race	Dist (f)	Course	Prize (£K)	Runners	Placing	Margin	Jockey	Trainer
EBF Cooperative Bank Maiden Stakes	7	Doncaster	3	18	1	Short head	Royston Ffrench	Luca Cumani
Buttercross Limited Stakes	10	Pontefract	5	8	1	3.5	Jason Weaver	Luca Cumani
EBF Hedgehope Maiden Stakes	12	Lingfield	31	6	1	Neck	Frankie Dettori	Luca Cumani
Derby	12	Epsom	598	15	1	Head	Olivier Peslier	Luca Cumani
King George VI & Queen Elizabeth Stakes	12	Ascot	354	8	2	1	Olivier Peslier	Luca Cumani
Prix de l'Arc de Triomphe	12	Longchamp	404	14	7	3.25	Michael Kinane	Luca Cumani
Dubai World Cup	10	Nad Al Sheba	10	8	8	45	Frankie Dettori	Saeed Bin Suroor
Arc Trial	11	Newbury	28	6	2	0.75	Olivier Peslier	Saeed Bin Suroor
Champion Stakes	10	Newmarket Rowley	228	13	6	3	Olivier Peslier	Saeed Bin Suroor
Japan Cup	12	Tokyo	1071	15	3	1.5	Frankie Dettori	Saeed Bin Suroor
Dubai City of Gold	12	Nad Al Sheba	34	7	1	2.5	Frankie Dettori	Saeed Bin Suroor
Dubai Sheema Classic	12	Nad Al Sheba	731	16	3	5	Frankie Dettori	Saeed Bin Suroor
Manhattan Handicap	10	Belmont Park	146	9	8	19.5	John R. Velazquez	Kiaran McLaughlin
