Date	Opponent	Score	Loss	Record
June 1	@ Yankees	11–7	Mirabella (4–4)	22–22
June 2	Angels	6–3	Leal (1–1)	22–23
June 3	Angels	7–6 (11)	LaRoche (1–2)	23–23
June 4	Angels	8–2	Martínez (1–1)	24–23
June 5	@ Twins	Postponed (rain) Rescheduled for June 8	Postponed (rain) Rescheduled for June 8	Postponed (rain) Rescheduled for June 8
June 6	@ Twins	5–0	Mirabella (4–5)	24–24
June 7	@ Twins	3–2	Stieb (5–3)	24–25
June 8	@ Twins	5–1	Jefferson (2–3)	24–26
June 8	@ Twins	6–4 (13)	Arroyo (0–1)	25–26
June 10	@ White Sox	1–0	Baumgarten (1–3)	26–26
June 11	@ White Sox	7–4	Mirabella (4–6)	26–27
June 13	Rangers	6–3	Stieb (5–4)	26–28
June 14	Rangers	7–6	Babcock (0–2)	27–28
June 15	Rangers	5–3	Jenkins (4–5)	28–28
June 16	Twins	4–0	Jefferson (2–4)	28–29
June 17	Twins	8–6	Mirabella (4–7)	28–30
June 18	White Sox	5–4	Trout (2–7)	29–30
June 18	White Sox	3–1	Dotson (6–3)	30–30
June 19	White Sox	Postponed (rain) Rescheduled for September 7	Postponed (rain) Rescheduled for September 7	Postponed (rain) Rescheduled for September 7
June 20	@ Rangers	5–2	Garvin (1–3)	30–31
June 21	@ Rangers	2–1	McLaughlin (3–4)	30–32
June 22	@ Rangers	6–5 (10)	Kern (2–9)	31–32
June 24	@ Orioles	1–0	Stieb (6–5)	31–33
June 25	@ Orioles	6–3	Leal (1–2)	31–34
June 26	@ Orioles	4–1	Clancy (6–4)	31–35
June 27	Tigers	7–2	Jefferson (2–5)	31–36
June 28	Tigers	8–3	Kucek (1–1)	31–37
June 29	Tigers	2–0	Petry (4–4)	32–37
June 30	Orioles	9–7	Leal (1–3)	32–38
