Game	November	Opponent	Score	Location/Attendance	Record	Points
13	1	@ Vancouver Canucks	0-3	Rogers Arena - 18,860	3-9-1	7
14	3	@ Chicago Blackhawks	5-3	United Center - 21,044	4-9-1	9
15	5	New York Rangers	0-3	Prudential Center - 17,625	4-10-1	9
16	10	Buffalo Sabres	4-5 (SO)	Prudential Center - 14,566	4-10-2	10
17	12	Edmonton Oilers	4-3 (OT)	Prudential Center - 14,650	5-10-2	12
18	15	@ Boston Bruins	0-3	TD Garden - 17,565	5-11-2	12
19	18	@ Toronto Maple Leafs	1-3	Air Canada Centre - 19,271	5-12-2	12
20	20	@ St. Louis Blues	2-3	Scottrade Center - 19,150	5-13-2	12
21	22	Washington Capitals	5-0	Prudential Center - 14,107	6-13-2	14
22	24	Calgary Flames	2-1 (SO)	Prudential Center - 13,202	7-13-2	16
23	26	@ New York Islanders	0-2	Nassau Veterans Memorial Coliseum - 10,897	7-14-2	16
