Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Simon Baldry	MF	2 (5)	0	0	0	0	0	2 (5)	0
David Beresford	MF	6	1	0	0	0	0	6	1
Marcus Browning	MF	13	0	0	0	0	0	13	0
Darren Bullock	MF	26 (1)	1	2	0	4	0	32 (1)	1
Wayne Burnett	MF	33 (2)	0	1 (1)	0	3	0	37 (3)	0
Sam Collins	DF	10 (6)	0	0 (2)	0	2 (2)	0	12 (10)	0
Simon Collins	DF	3 (1)	0	0	0	1 (1)	1	4 (2)	1
Tom Cowan	DF	42	4	1	0	5	1	48	5
Gary Crosby	MF	19 (5)	2	2	1	0	0	21 (5)	3
Paul Dalton	MF	17 (12)	4	0	0	1 (2)	0	18 (14)	4
Simon Davies	MF	3	0	0	0	0	0	3	0
Iain Dunn	FW	1 (4)	0	0	0	0	0	1 (4)	0
Jon Dyson	DF	18 (5)	0	2	0	0 (2)	0	20 (7)	0
Darren Edmondson	DF	10	0	0	0	0	0	10	0
Rob Edwards	MF	24 (9)	3	2	1	4 (1)	1	30 (10)	5
Delroy Facey	FW	1 (2)	0	0	0	0	0	1 (2)	0
Steve Francis	GK	42	0	1	0	5	0	48	0
Lee Glover	MF	11	0	0	0	0	0	11	0
Kevin Gray	DF	36 (3)	1	0	0	4	0	40 (3)	1
Thomas Heary	DF	2 (3)	0	1	0	0	0	3 (3)	0
Jeremy Illingworth	MF	2 (1)	0	0	0	0	0	2 (1)	0
Steve Jenkins	DF	33	0	2	0	5	0	40	0
Peter Kaye	FW	0 (1)	0	0	0	0	0	0 (1)	0
Ian Lawson	FW	8 (10)	3	1 (1)	0	1 (3)	0	10 (14)	3
Lee Makel	MF	19	3	2	0	3	0	24	3
Andy Morrison	DF	9 (1)	1	0	0	2	0	11 (1)	1
Tony Norman	GK	4	0	1	0	0	0	5	0
Andy Payton	FW	38	17	2	0	5	2	45	19
Paul Reid	MF	20 (2)	0	1 (1)	0	4	0	25 (3)	0
Rodney Rowe	FW	1 (6)	0	0	0	0 (1)	0	1 (7)	0
Robbie Ryan	DF	2 (3)	0	0	0	0	0	2 (3)	0
Lee Sinnott	DF	29 (1)	0	0	0	2	0	31 (1)	0
Marcus Stewart	FW	19 (1)	7	1	0	4	4	24 (1)	11
Paul Tisdale	DF	1 (1)	0	0	0	0	0	1 (1)	0
Mike Williams	MF	2	0	0	0	0	0	2	0
