Round	Pick #	Player	Position	College
1	16	Jim Ritcher	Guard	North Carolina State
2	29	Joe Cribbs	Running back	Auburn
2	37	Gene Bradley	Quarterback	Arkansas State
3	67	Mark Brammer	Tight end	Michigan State
3	71	John Schmeding	Guard	Boston College
4	93	Ervin Parker	Linebacker	South Carolina St.
5	119	Jeff Pyburn	Defensive back	Georgia
5	129	Keith Lee	Defensive back	Colorado St.
8	202	Todd Krueger	Quarterback	Northern Michigan
9	231	Kent Davis	Defensive back	Southeast Missouri St.
10	259	Greg Cater	Punter	Tennessee-Chattanooga
11	286	Joe Gordon	Defensive tackle	Grambling St.
12	316	Roger Lapham	Tight end	Maine
