Date	Cover model	Centerfold model	Interview subject	Pictorials
1-84	no model pictured	Penny Baker	Dan Rather	Mariel Hemingway in Star 80
2-84	Kimberly McArthur	Justine Greiner	Paul Simon	Carol Wayne
3-84	Susie Scott Krabacher	Dona Speir	Moses Malone	Big & Beautiful, Bridgette Monet
4-84	Kathy Shower	Lesa Ann Pedriana	Joan Collins	Sydney Krueger
5-84	Rita Jenrette , Phillip Anderson	Patty Duffek	Calvin Klein	Rita Jenrette, Vicki LaMotta , Ola Ray
6-84	Barbara Edwards	Tricia Lange	Jesse Jackson	Barbara Edwards - PMOY
7-84	Bo Derek	Liz Stewart	Walid Jumblat	Bo Derek
8-84	Terry Moore	Suzi Schott	Bobby Knight	Terry Moore
9-84	Kimberly Evenson	Kimberly Evenson	Shirley MacLaine	Girls of the Big Ten , Anne Carlisle
10-84	Lesa Pedriana	Debi Johnson	David Letterman	Babes of Broadway , Sonia Braga
11-84	Christie Brinkley	Roberta Vasquez	José Napoleón Duarte	Christie Brinkley
12-84	Suzanne Somers	Karen Velez	Paul and Linda McCartney	Suzanne Somers
