Rider	Bike	Laps	Time	Grid
Max Biaggi	Suzuki GSX-R1000 K7	24	39:24.967	4
Troy Bayliss	Ducati 999 F07	24	+5.638	1
James Toseland	Honda CBR1000RR	24	+7.452	8
Noriyuki Haga	Yamaha YZF-R1	24	+10.079	5
Michel Fabrizio	Honda CBR1000RR	24	+22.257	7
Lorenzo Lanzi	Ducati 999 F07	24	+25.662	6
Régis Laconi	Kawasaki ZX-10R	24	+34.811	13
Fonsi Nieto	Kawasaki ZX-10R	24	+38.075	16
Shinichi Nakatomi	Yamaha YZF-R1	24	+39.070	10
Vittorio Iannuzzo	Kawasaki ZX-10R	24	+47.702	15
Jakub Smrž	Ducati 999 F05	24	+47.806	14
Marco Borciani	Ducati 999 F06	24	+53.488	11
Karl Muggeridge	Honda CBR1000RR	24	+54.509	17
Steve Martin	Suzuki GSX-R1000 K6	24	+1:01.967	22
Yoann Tiberio	Honda CBR1000RR	24	+1:08.291	18
Luca Morelli	Honda CBR1000RR	24	+1:08.517	21
Dean Ellison	Ducati 999RS	23	+1 Lap	23
Ruben Xaus	Ducati 999 F06	9	Retirement	3
Norino Brignola	Ducati 999 F05	3	Retirement	19
Max Neukirchner	Suzuki GSX-R1000 K6	0	Retirement	12
Troy Corser	Yamaha YZF-R1	0	Retirement	2
Roberto Rolfo	Honda CBR1000RR	0	Retirement	9
