Rider	Manufacturer	Laps	Time	Grid
Stefan Bradl	Aprilia	19	41:05.176	13
Mike Di Meglio	Derbi	19	+0.881	5
Joan Olivé	Derbi	19	+4.070	10
Gábor Talmácsi	Aprilia	19	+4.118	1
Nicolas Terol	Aprilia	19	+7.048	2
Bradley Smith	Aprilia	19	+9.334	4
Sandro Cortese	Aprilia	19	+12.813	6
Pol Espargaro	Derbi	19	+16.491	7
Andrea Iannone	Aprilia	19	+17.637	3
Simone Corsi	Aprilia	19	+17.855	8
Scott Redding	Aprilia	19	+18.964	17
Sergio Gadea	Aprilia	19	+29.920	9
Esteve Rabat	KTM	19	+38.445	15
Dominique Aegerter	Derbi	19	+54.637	24
Robin Lasser	Aprilia	19	+54.797	22
Pablo Nieto	KTM	19	+55.723	28
Lukas Sembera	Aprilia	19	+56.786	36
Efren Vazquez	Aprilia	19	+59.166	19
Lorenzo Zanetti	KTM	19	+59.330	20
Pere Tutusaus	Aprilia	19	+59.340	30
Michael Ranseder	Aprilia	19	+1:00.307	25
Marco Ravaioli	Aprilia	19	+1:07.401	33
Randy Krummenacher	KTM	19	+1:11.701	26
Jules Cluzel	Loncin	19	+1:19.343	27
Hugo Van Den Berg	Aprilia	19	+1:30.988	35
Alexis Masbou	Loncin	19	+1:31.018	32
Robert Muresan	Aprilia	19	+1:31.149	31
Bastien Chesaux	Aprilia	19	+1:33.222	34
Louis Rossi	Honda	19	+1:33.600	37
Michal Prasek	Aprilia	18	+1 Lap	38
Andrea Touskova	Aprilia	18	+1 Lap	39
Karel Pešek	Aprilia	17	Accident	29
Steve Bonsey	Aprilia	15	Retirement	18
Marc Marquez	KTM	6	Accident	12
Jonas Folger	Aprilia	1	Retirement	23
Raffaele De Rosa	KTM	0	Accident	11
Tomoyoshi Koyama	KTM	0	Accident	14
Takaaki Nakagami	Aprilia	0	Accident	21
Danny Webb	Aprilia	0	Accident	16
