Season	Team	Country	Division	Apps	Goals
1998–99	Bane Raška	Yugoslavia	2	11	0
1999–00	Bane Raška	Yugoslavia	2	27	2
2000–01	OFK Beograd	Yugoslavia	1	15	0
2001–02	OFK Beograd	Yugoslavia	1	32	3
2002–03	OFK Beograd	Serbia and Montenegro	1	29	0
2003–04	OFK Beograd	Serbia and Montenegro	1	25	1
2004–05	OFK Beograd	Serbia and Montenegro	1	10	0
2005	Torpedo Moscow	Russia	1	29	0
2006	Torpedo Moscow	Russia	1	20	2
2007	Torpedo Moscow	Russia	2	23	1
2008	Tom Tomsk	Russia	1	28	3
2009	Tom Tomsk	Russia	1	27	3
2010	Tom Tomsk	Russia	1	25	1
2011	Tom Tomsk	Russia	1	22	2
2012	Dynamo Bryansk	Russia	2	6	0
2012-13	Vojvodina	Serbia	1	20	0
2013-14	Vojvodina	Serbia	1	0	0
